epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,82981.5,1.00489,1.49543,1.29207,0.82302,0.6617,0.77995,0.47366,0.95387,1.40778,1.39497,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,10396,0.99693,1.48642,1.28166,0.82246,0.66064,0.78,0.47391,0.95168,1.40645,1.39101,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,20788.3,0.99779,1.4871,1.28229,0.82453,0.66377,0.78088,0.47401,0.95282,1.40177,1.39138,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,31185.7,0.9971,1.48718,1.29752,0.82049,0.66489,0.78048,0.47346,0.95295,1.40522,1.40234,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,41573.9,0.99373,1.48589,1.28576,0.82308,0.66417,0.78116,0.47507,0.94841,1.40982,1.39555,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,51948.9,0.99208,1.47852,1.2844,0.81762,0.66424,0.78037,0.47559,0.94789,1.40416,1.39753,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,62323.5,0.99384,1.47825,1.27814,0.81949,0.66227,0.78037,0.47539,0.94738,1.40311,1.3927,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,72697.9,0.99198,1.47498,1.27206,0.81974,0.66579,0.78211,0.4768,0.94947,1.39583,1.39002,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,83070.8,0.98906,1.47024,1.27901,0.81717,0.66619,0.78201,0.47674,0.9532,1.39044,1.39772,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,10448.9,0.98455,1.45408,1.2845,0.81453,0.66559,0.78229,0.47676,0.95535,1.37887,1.4076,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,20886.5,0.98451,1.45681,1.27408,0.8161,0.66685,0.78327,0.47863,0.95321,1.37942,1.39474,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,31307.3,0.98074,1.45473,1.27007,0.81429,0.66455,0.78186,0.47766,0.95117,1.379,1.38953,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,41735.1,0.97648,1.45262,1.27229,0.81607,0.66752,0.78359,0.47856,0.95169,1.37659,1.39458,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,52163.3,0.97408,1.44861,1.26886,0.81434,0.66705,0.78336,0.47814,0.95016,1.37582,1.39573,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,62586.1,0.97523,1.44322,1.27264,0.81736,0.66535,0.78427,0.47942,0.95035,1.37395,1.39896,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,73005.5,0.96896,1.44179,1.26674,0.81539,0.66744,0.78442,0.48024,0.94885,1.37106,1.39964,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,83425.8,0.96602,1.43659,1.27113,0.81347,0.66825,0.78539,0.4804,0.95053,1.36426,1.40405,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,10396.9,0.95921,1.41752,1.26301,0.81379,0.66851,0.78627,0.481,0.9506,1.35654,1.40445,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,20782.8,0.95609,1.41599,1.25875,0.81236,0.6696,0.78707,0.48179,0.94948,1.35501,1.40395,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,31232.2,0.93693,1.38315,1.30922,0.81318,0.66912,0.78591,0.482,0.94271,1.36416,1.3986,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,41680.1,0.93182,1.37015,1.30562,0.81328,0.66787,0.78663,0.48361,0.94225,1.3564,1.39398,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,52143,0.92879,1.35783,1.27277,0.81269,0.6717,0.78918,0.48528,0.94846,1.34698,1.37477,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,62598.6,0.92366,1.34876,1.25966,0.81543,0.67265,0.79144,0.48645,0.94833,1.33948,1.35191,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,73052.2,0.91782,1.33723,1.2409,0.81485,0.67399,0.79224,0.48741,0.94637,1.33891,1.336,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,83453.6,0.91138,1.32998,1.24148,0.81423,0.6737,0.7938,0.48864,0.94289,1.33504,1.33092,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,10383.1,0.92921,1.35944,1.20781,0.80819,0.67316,0.79331,0.48846,0.94442,1.32447,1.33986,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,20759.3,0.91553,1.34431,1.19448,0.80033,0.67614,0.79265,0.48731,0.94434,1.31978,1.34229,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,31150.6,0.91541,1.34473,1.19203,0.79608,0.67724,0.79262,0.48769,0.94513,1.31483,1.33825,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,41527,0.90877,1.32769,1.18066,0.79805,0.67799,0.79405,0.48831,0.94537,1.31081,1.33152,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
