confidence_threshold,precision,recall
0.000,0.011342,0.937994
0.005,0.472183,0.937739
0.010,0.612231,0.937484
0.015,0.669768,0.936719
0.020,0.703796,0.936719
0.025,0.729714,0.936208
0.030,0.749642,0.935953
0.035,0.767588,0.935443
0.040,0.783166,0.935443
0.045,0.793799,0.934167
0.050,0.801446,0.933146
0.055,0.812042,0.932636
0.060,0.820386,0.932381
0.065,0.827063,0.931105
0.070,0.834936,0.930595
0.075,0.840673,0.930339
0.080,0.843981,0.930339
0.085,0.848034,0.929829
0.090,0.852590,0.928298
0.095,0.856134,0.927788
0.100,0.859168,0.927788
0.105,0.861579,0.927533
0.110,0.864350,0.926767
0.115,0.866874,0.925491
0.120,0.868825,0.924471
0.125,0.870704,0.924471
0.130,0.873402,0.924215
0.135,0.874819,0.923705
0.140,0.878001,0.923705
0.145,0.879835,0.922940
0.150,0.880604,0.922174
0.155,0.882755,0.922174
0.160,0.884267,0.922174
0.165,0.886788,0.921409
0.170,0.888916,0.920898
0.175,0.890590,0.920133
0.180,0.892106,0.919878
0.185,0.893628,0.919622
0.190,0.896492,0.919367
0.195,0.898030,0.919112
0.200,0.899275,0.918091
0.205,0.899850,0.917071
0.210,0.900928,0.916560
0.215,0.901833,0.916560
0.220,0.903624,0.916305
0.225,0.905422,0.916050
0.230,0.907459,0.915795
0.235,0.907895,0.915540
0.240,0.909921,0.915029
0.245,0.911286,0.914774
0.250,0.912147,0.914009
0.255,0.913287,0.913754
0.260,0.916091,0.913754
0.265,0.916261,0.912988
0.270,0.917158,0.912478
0.275,0.917864,0.912478
0.280,0.919259,0.912223
0.285,0.919475,0.911967
0.290,0.920165,0.911712
0.295,0.920619,0.911457
0.300,0.921766,0.910947
0.305,0.923415,0.910692
0.310,0.924054,0.909671
0.315,0.924754,0.909416
0.320,0.925214,0.909161
0.325,0.925916,0.908905
0.330,0.926099,0.908140
0.335,0.926785,0.907629
0.340,0.927211,0.906864
0.345,0.928366,0.906098
0.350,0.929058,0.905588
0.355,0.929526,0.905333
0.360,0.929976,0.904823
0.365,0.930899,0.904057
0.370,0.931370,0.903802
0.375,0.932052,0.903036
0.380,0.932489,0.902271
0.385,0.933193,0.901761
0.390,0.933421,0.901505
0.395,0.933369,0.900740
0.400,0.933580,0.900230
0.405,0.934765,0.899464
0.410,0.935741,0.899209
0.415,0.937716,0.898954
0.420,0.938133,0.897678
0.425,0.939086,0.896912
0.430,0.939086,0.896912
0.435,0.940310,0.896402
0.440,0.941303,0.896147
0.445,0.941761,0.895381
0.450,0.942504,0.895126
0.455,0.942949,0.894106
0.460,0.943381,0.892830
0.465,0.943544,0.891299
0.470,0.944234,0.890023
0.475,0.944745,0.890023
0.480,0.945499,0.889768
0.485,0.945939,0.888492
0.490,0.946924,0.887726
0.495,0.947411,0.887216
0.500,0.948144,0.886451
0.505,0.949440,0.886451
0.510,0.949890,0.885175
0.515,0.949863,0.884664
0.520,0.950549,0.882878
0.525,0.951018,0.881858
0.530,0.951253,0.881347
0.535,0.951724,0.880327
0.540,0.952486,0.879816
0.545,0.954042,0.879306
0.550,0.955087,0.879051
0.555,0.956075,0.877520
0.560,0.956292,0.876499
0.565,0.957055,0.875734
0.570,0.958042,0.873947
0.575,0.958263,0.872927
0.580,0.959293,0.871906
0.585,0.960079,0.871396
0.590,0.960315,0.870630
0.595,0.960801,0.869354
0.600,0.961278,0.867823
0.605,0.961538,0.867568
0.610,0.961756,0.866292
0.615,0.962543,0.865527
0.620,0.963047,0.864506
0.625,0.964377,0.863486
0.630,0.964867,0.861955
0.635,0.965083,0.860424
0.640,0.965626,0.860168
0.645,0.966676,0.858637
0.650,0.966906,0.857362
0.655,0.967071,0.854300
0.660,0.967555,0.852258
0.665,0.967807,0.851493
0.670,0.968596,0.849962
0.675,0.968832,0.848686
0.680,0.969343,0.847155
0.685,0.969555,0.845114
0.690,0.969741,0.842307
0.695,0.969974,0.840776
0.700,0.970771,0.838990
0.705,0.971268,0.836693
0.710,0.971513,0.835417
0.715,0.972330,0.833886
0.720,0.973983,0.831079
0.725,0.974805,0.829293
0.730,0.975015,0.826486
0.735,0.975234,0.823935
0.740,0.975787,0.822659
0.745,0.975995,0.819597
0.750,0.976227,0.817300
0.755,0.976132,0.813983
0.760,0.976651,0.811176
0.765,0.977153,0.807604
0.770,0.977695,0.805307
0.775,0.978234,0.802756
0.780,0.978404,0.797652
0.785,0.978623,0.794335
0.790,0.979417,0.789232
0.795,0.979911,0.784129
0.800,0.980367,0.777239
0.805,0.981524,0.772646
0.810,0.981944,0.763205
0.815,0.982439,0.756571
0.820,0.983278,0.750191
0.825,0.983120,0.743047
0.830,0.984295,0.735647
0.835,0.984424,0.725695
0.840,0.984648,0.720082
0.845,0.985143,0.710640
0.850,0.985642,0.700689
0.855,0.985428,0.690227
0.860,0.987379,0.678745
0.865,0.987514,0.665986
0.870,0.987952,0.648635
0.875,0.988358,0.628221
0.880,0.988387,0.608063
0.885,0.988860,0.588926
0.890,0.989314,0.566981
0.895,0.989894,0.549885
0.900,0.989928,0.526665
0.905,0.990291,0.494514
0.910,0.991309,0.465680
0.915,0.991808,0.432508
0.920,0.992439,0.401888
0.925,0.992366,0.364889
0.930,0.992320,0.329676
