confidence_threshold,precision,recall
0.000,0.018455,0.939270
0.005,0.353433,0.939270
0.010,0.517513,0.938760
0.015,0.603975,0.938250
0.020,0.649126,0.937994
0.025,0.680993,0.937994
0.030,0.711300,0.937994
0.035,0.731834,0.937994
0.040,0.747458,0.937994
0.045,0.762715,0.937484
0.050,0.777801,0.936974
0.055,0.788400,0.936463
0.060,0.796091,0.935443
0.065,0.802410,0.934677
0.070,0.808924,0.934422
0.075,0.816054,0.933912
0.080,0.822022,0.933401
0.085,0.826588,0.932891
0.090,0.830983,0.932126
0.095,0.835507,0.931870
0.100,0.840046,0.931360
0.105,0.842372,0.931360
0.110,0.844995,0.930595
0.115,0.848859,0.930084
0.120,0.851601,0.929829
0.125,0.854861,0.928808
0.130,0.857479,0.928808
0.135,0.860691,0.928553
0.140,0.863280,0.928043
0.145,0.865714,0.927788
0.150,0.866762,0.926257
0.155,0.868774,0.925746
0.160,0.871247,0.925491
0.165,0.872924,0.925491
0.170,0.874187,0.925491
0.175,0.876057,0.925236
0.180,0.877724,0.924981
0.185,0.878913,0.924215
0.190,0.880564,0.923705
0.195,0.882626,0.922940
0.200,0.883460,0.922684
0.205,0.885539,0.921919
0.210,0.887715,0.921919
0.215,0.889217,0.921664
0.220,0.889601,0.921153
0.225,0.891277,0.920388
0.230,0.893238,0.920133
0.235,0.894567,0.920133
0.240,0.895626,0.919622
0.245,0.896715,0.919367
0.250,0.898952,0.919367
0.255,0.899850,0.919367
0.260,0.899825,0.919112
0.265,0.901401,0.919112
0.270,0.903185,0.918857
0.275,0.903865,0.918857
0.280,0.904750,0.918602
0.285,0.905109,0.917581
0.290,0.906431,0.917071
0.295,0.907576,0.917071
0.300,0.908884,0.916305
0.305,0.909529,0.915795
0.310,0.910429,0.915540
0.315,0.911286,0.914774
0.320,0.911727,0.914519
0.325,0.912169,0.914264
0.330,0.914242,0.914009
0.335,0.915367,0.913498
0.340,0.915814,0.913243
0.345,0.917179,0.912733
0.350,0.919044,0.912478
0.355,0.919969,0.912223
0.360,0.921371,0.911967
0.365,0.922759,0.911457
0.370,0.924152,0.910947
0.375,0.925311,0.910436
0.380,0.926436,0.909416
0.385,0.928571,0.908905
0.390,0.929467,0.907885
0.395,0.930141,0.907119
0.400,0.930854,0.906864
0.405,0.932266,0.906098
0.410,0.934176,0.905333
0.415,0.934370,0.904567
0.420,0.935288,0.903547
0.425,0.936210,0.902526
0.430,0.937434,0.902271
0.435,0.937898,0.901761
0.440,0.938380,0.901505
0.445,0.938613,0.901250
0.450,0.938797,0.900230
0.455,0.940533,0.899974
0.460,0.941019,0.899719
0.465,0.941758,0.899464
0.470,0.942941,0.898188
0.475,0.944176,0.897678
0.480,0.945132,0.896657
0.485,0.946033,0.894616
0.490,0.946486,0.893595
0.495,0.947197,0.892575
0.500,0.947397,0.891554
0.505,0.948356,0.890278
