epoch,f1_at_protocol,precision_at_protocol,recall_at_protocol,max_f1,max_f1_conf,precision_at_max_f1,recall_at_max_f1,ap,checkpoint_fingerprint
1,0.905388,0.914822,0.896147,0.906922,0.386652,0.932596,0.882623,0.914060,9fef14f29123
2,0.911941,0.910896,0.912988,0.916862,0.402945,0.933845,0.900485,0.922380,231cbeeaec84
3,0.912579,0.908884,0.916305,0.920581,0.476258,0.944683,0.897678,0.923578,6584b67823fd
4,0.916324,0.921766,0.910947,0.918325,0.451049,0.942757,0.895126,0.922710,0cc229518e34
5,0.912447,0.916795,0.908140,0.916450,0.415422,0.935193,0.898443,0.919240,76c6038ce4f7
6,0.914374,0.921482,0.907374,0.917277,0.448316,0.941682,0.894106,0.916674,5174b372ad68
7,0.911317,0.920813,0.902016,0.915254,0.494056,0.943391,0.888747,0.915800,6ea4db016df2
8,0.912421,0.922535,0.902526,0.915423,0.455206,0.940038,0.892064,0.915382,9733ce88a320
