confidence_threshold,precision,recall
0.000,0.005642,0.933146
0.005,0.477971,0.932891
0.010,0.606906,0.932891
0.015,0.670584,0.931870
0.020,0.711280,0.931615
0.025,0.739809,0.930850
0.030,0.759109,0.930339
0.035,0.776807,0.929829
0.040,0.791567,0.929319
0.045,0.804463,0.929064
0.050,0.812877,0.927788
0.055,0.821655,0.927533
0.060,0.829263,0.927022
0.065,0.837757,0.926257
0.070,0.842350,0.925746
0.075,0.847989,0.925236
0.080,0.851974,0.925236
0.085,0.854751,0.924981
0.090,0.859483,0.923960
0.095,0.863723,0.923450
0.100,0.867418,0.923195
0.105,0.870424,0.922174
0.110,0.872495,0.921919
0.115,0.875424,0.921664
0.120,0.877705,0.921153
0.125,0.879327,0.920388
0.130,0.881232,0.920133
0.135,0.881820,0.919622
0.140,0.882872,0.919367
0.145,0.885012,0.919112
0.150,0.886291,0.918857
0.155,0.888450,0.918602
0.160,0.889301,0.918347
0.165,0.890621,0.918347
0.170,0.893052,0.918347
0.175,0.893939,0.918347
0.180,0.895667,0.917836
0.185,0.896535,0.917581
0.190,0.898649,0.916305
0.195,0.900401,0.915795
0.200,0.901532,0.915795
0.205,0.902893,0.915795
0.210,0.903575,0.915795
0.215,0.904894,0.915285
0.220,0.905808,0.915285
0.225,0.907089,0.914264
0.230,0.907755,0.914009
0.235,0.908606,0.913243
0.240,0.909715,0.912733
0.245,0.910828,0.912223
0.250,0.911480,0.911712
0.255,0.912599,0.911202
0.260,0.914213,0.910947
0.265,0.914637,0.910436
0.270,0.915768,0.909926
0.275,0.916645,0.909161
0.280,0.917589,0.909161
0.285,0.918257,0.908650
0.290,0.919659,0.908395
0.295,0.920569,0.907885
0.300,0.921482,0.907374
0.305,0.922118,0.906354
0.310,0.922297,0.905588
0.315,0.923197,0.904823
0.320,0.923638,0.904312
0.325,0.924322,0.903802
0.330,0.925529,0.903802
0.335,0.925916,0.902526
0.340,0.926401,0.902526
0.345,0.927840,0.902271
0.350,0.928252,0.901250
0.355,0.929211,0.900995
0.360,0.930435,0.900995
0.365,0.931098,0.899974
0.370,0.931080,0.899719
0.375,0.932047,0.899464
0.380,0.932239,0.898699
0.385,0.932945,0.898188
0.390,0.933900,0.897678
0.395,0.934343,0.896912
0.400,0.935321,0.896657
0.405,0.936301,0.896402
0.410,0.937016,0.895892
0.415,0.938001,0.895637
0.420,0.938486,0.895381
0.425,0.938737,0.895381
0.430,0.938956,0.894871
0.435,0.939191,0.894616
0.440,0.939930,0.894361
0.445,0.940924,0.894106
0.450,0.941651,0.893595
0.455,0.942142,0.893340
0.460,0.942380,0.893085
0.465,0.942349,0.892575
0.470,0.942572,0.892064
0.475,0.942811,0.891809
0.480,0.943289,0.891299
0.485,0.943529,0.891044
0.490,0.943753,0.890533
0.495,0.943723,0.890023
0.500,0.943978,0.890023
0.505,0.944189,0.889257
0.510,0.944927,0.888747
0.515,0.945909,0.887982
0.520,0.946652,0.887471
0.525,0.946623,0.886961
0.530,0.946594,0.886451
0.535,0.947354,0.886195
0.540,0.948102,0.885685
0.545,0.948304,0.884664
0.550,0.949548,0.883644
0.555,0.950027,0.882878
0.560,0.950797,0.882623
0.565,0.951280,0.881858
0.570,0.951502,0.881092
0.575,0.951462,0.880327
0.580,0.951724,0.880327
0.585,0.951920,0.879051
0.590,0.952407,0.878285
0.595,0.952381,0.877775
0.600,0.953940,0.877265
0.605,0.954154,0.876244
0.610,0.954925,0.875734
0.615,0.956194,0.874458
0.620,0.956425,0.873692
0.625,0.956619,0.872161
0.630,0.957083,0.870630
0.635,0.957560,0.869354
0.640,0.957782,0.868334
0.645,0.958251,0.866803
0.650,0.958982,0.865017
0.655,0.960023,0.863996
0.660,0.961364,0.863486
0.665,0.961889,0.862975
0.670,0.962646,0.861444
0.675,0.963714,0.860679
0.680,0.965636,0.860424
0.685,0.965596,0.859403
0.690,0.966676,0.858637
0.695,0.966916,0.857617
0.700,0.967166,0.856851
0.705,0.967938,0.855065
0.710,0.967873,0.853279
0.715,0.967835,0.852258
0.720,0.968614,0.850472
0.725,0.968868,0.849707
0.730,0.969644,0.847665
0.735,0.970167,0.846389
0.740,0.970692,0.845114
0.745,0.971487,0.843327
0.750,0.971386,0.840265
0.755,0.972222,0.839500
0.760,0.972436,0.837203
0.765,0.972692,0.836183
0.770,0.972868,0.832610
0.775,0.973126,0.831590
0.780,0.973637,0.829293
0.785,0.973842,0.826486
0.790,0.974049,0.823680
0.795,0.974780,0.818576
0.800,0.974954,0.814493
0.805,0.975422,0.810156
