year,labels,cities,private,rated,tagged,correct,human_validated,tagged_and_correct,pct_tagged,pct_rated
2015.0,2559,1,2559,0,0,0,0,0,0.0,0.0
2016.0,34869,1,34869,25112,5,25,26,5,0.0,72.0
2017.0,67263,1,67263,57280,19,55,57,19,0.0,85.2
2018.0,40393,1,40393,34777,19,41,48,8,0.0,86.1
2019.0,33912,5,1439,32773,9365,27128,22364,7489,27.6,96.6
2020.0,27508,7,1254,26662,8407,21800,18738,6445,30.6,96.9
2021.0,46550,9,4,45612,12182,35873,35936,8480,26.2,98.0
2022.0,28716,12,621,27865,12925,20709,15896,8755,45.0,97.0
2023.0,45153,20,22483,44081,17319,36821,31514,12855,38.4,97.6
2024.0,49967,25,5048,48877,16262,44668,29177,13431,32.5,97.8
2025.0,73417,38,27466,71011,27865,63748,45203,22420,38.0,96.7
2026.0,54487,47,6039,52618,13957,44918,7736,9556,25.6,96.6
