epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10977.7,1.375,1.75127,1.52051,0.86423,0.52551,0.69125,0.36806,1.22929,2.10154,1.55298,0.00999978,0.00333326,0.00999978,0.00333326,0.00999978,0.00333326,0.00999978,0.00333326
2,21543.3,1.15523,1.60282,1.36615,0.17248,0.60277,0.32485,0.13276,1.81191,3.59723,2.09463,0.0196698,0.0065566,0.0196698,0.0065566,0.0196698,0.0065566,0.0196698,0.0065566
3,31965.5,1.12357,1.6014,1.36794,0.32751,0.19844,0.10983,0.02115,2.66681,5.05632,2.85574,0.0290098,0.00966993,0.0290098,0.00966993,0.0290098,0.00966993,0.0290098,0.00966993
4,42382.8,1.0988,1.59369,1.36564,0.15787,0.62678,0.33133,0.118,2.03578,3.59447,2.2032,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,52843.7,1.07091,1.57103,1.35015,0.8254,0.58254,0.71833,0.43308,0.97026,1.66834,1.40888,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,63296,1.06517,1.56117,1.33959,0.8363,0.63551,0.76089,0.46253,0.93702,1.52215,1.37873,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,73752.9,1.05768,1.55687,1.33517,0.82653,0.65046,0.76779,0.46634,0.93779,1.4842,1.38539,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,84209.8,1.05135,1.55453,1.33042,0.82484,0.65651,0.77155,0.46759,0.93956,1.47093,1.38631,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,10417.1,1.04774,1.54669,1.3336,0.82542,0.65983,0.77399,0.46841,0.94833,1.45636,1.40062,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,20834.7,1.04722,1.54432,1.33768,0.82257,0.6591,0.77377,0.46852,0.94825,1.45473,1.40249,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,31241.6,1.0444,1.54174,1.34077,0.81992,0.65682,0.772,0.46757,0.95112,1.4522,1.40938,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,41656.3,1.03987,1.54352,1.33374,0.82223,0.65725,0.77274,0.46751,0.95118,1.45016,1.4115,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,52074.3,1.03908,1.54232,1.33718,0.82641,0.65771,0.77389,0.46835,0.95113,1.44961,1.41679,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,62492.1,1.03836,1.53822,1.34158,0.8246,0.65722,0.77413,0.46797,0.9527,1.44824,1.42477,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,72903.9,1.03608,1.53667,1.33746,0.8215,0.65369,0.77218,0.46707,0.95553,1.4424,1.42777,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,83319.4,1.03352,1.53584,1.33371,0.82029,0.65623,0.77334,0.46781,0.95456,1.43819,1.42313,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,10452.2,1.03148,1.52605,1.33004,0.82098,0.6582,0.77438,0.46839,0.95739,1.43306,1.42484,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,20866.7,1.02933,1.52897,1.33061,0.82476,0.65705,0.77514,0.46862,0.95495,1.43614,1.41941,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,31274.9,1.02876,1.52531,1.3275,0.81894,0.65864,0.77395,0.46852,0.95113,1.43954,1.41396,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,41687,1.02442,1.52641,1.3207,0.82378,0.65645,0.77393,0.46899,0.94643,1.44097,1.40976,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,52104.6,1.02416,1.52094,1.32338,0.81807,0.65781,0.77371,0.46896,0.95134,1.43336,1.41392,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,62504.2,1.01905,1.52426,1.31756,0.81922,0.65803,0.77424,0.46923,0.94651,1.43848,1.40988,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
