recall,precision
0.0,1.0
0.00025516713447307985,1.0
0.0005103342689461597,1.0
0.0007655014034192396,1.0
0.0010206685378923194,1.0
0.0012758356723653994,1.0
0.0015310028068384791,1.0
0.0015310028068384791,0.8571428571428571
0.001786169941311559,0.875
0.002041337075784639,0.8888888888888888
0.0022965042102577188,0.9
0.0025516713447307987,0.9090909090909091
0.0028068384792038787,0.9166666666666666
0.0030620056136769582,0.9230769230769231
0.003317172748150038,0.9285714285714286
0.003572339882623118,0.9333333333333333
0.003827507017096198,0.9375
0.004082674151569278,0.9411764705882353
0.004337841286042358,0.9444444444444444
0.0045930084205154376,0.9473684210526315
0.0048481755549885175,0.95
0.0051033426894615975,0.9523809523809523
0.0053585098239346774,0.9545454545454546
0.005613676958407757,0.9565217391304348
0.005868844092880837,0.9583333333333334
0.0061240112273539165,0.96
0.006379178361826996,0.9615384615384616
0.006634345496300076,0.9629629629629629
0.006889512630773156,0.9642857142857143
0.007144679765246236,0.9655172413793104
0.007399846899719316,0.9666666666666667
0.007655014034192396,0.967741935483871
0.007910181168665476,0.96875
0.007910181168665476,0.9393939393939394
0.008165348303138555,0.9411764705882353
0.008420515437611636,0.9428571428571428
0.008675682572084715,0.9444444444444444
0.008930849706557796,0.9459459459459459
0.009186016841030875,0.9473684210526315
0.009441183975503956,0.9487179487179487
0.009696351109977035,0.95
0.009951518244450114,0.9512195121951219
0.010206685378923195,0.9523809523809523
0.010461852513396274,0.9534883720930233
0.010461852513396274,0.9318181818181818
0.010717019647869355,0.9333333333333333
0.010972186782342434,0.9347826086956522
0.011227353916815515,0.9361702127659575
0.011482521051288594,0.9375
0.011737688185761675,0.9387755102040817
0.011992855320234754,0.94
0.012248022454707833,0.9411764705882353
0.012503189589180914,0.9423076923076923
0.012758356723653993,0.9433962264150944
0.013013523858127074,0.9444444444444444
0.013268690992600153,0.9454545454545454
0.013523858127073234,0.9464285714285714
0.013779025261546313,0.9473684210526315
0.014034192396019394,0.9482758620689655
0.014289359530492473,0.9491525423728814
0.014544526664965552,0.95
0.014799693799438633,0.9508196721311475
0.015054860933911712,0.9516129032258065
0.015310028068384792,0.9523809523809523
0.015565195202857872,0.953125
0.015820362337330952,0.9538461538461539
0.01607552947180403,0.9545454545454546
0.01633069660627711,0.9552238805970149
0.01658586374075019,0.9558823529411765
0.016841030875223272,0.9565217391304348
0.01709619800969635,0.9571428571428572
0.01735136514416943,0.9577464788732394
0.01760653227864251,0.9583333333333334
0.017861699413115592,0.958904109589041
0.01811686654758867,0.9594594594594594
0.01837203368206175,0.96
0.01862720081653483,0.9605263157894737
0.018882367951007912,0.961038961038961
0.01913753508548099,0.9615384615384616
0.01939270221995407,0.9620253164556962
0.01939270221995407,0.95
0.01964786935442715,0.9506172839506173
0.01990303648890023,0.9512195121951219
0.02015820362337331,0.9518072289156626
0.02041337075784639,0.9523809523809523
0.02066853789231947,0.9529411764705882
0.020923705026792548,0.9534883720930233
0.02117887216126563,0.9540229885057471
0.02143403929573871,0.9545454545454546
0.02168920643021179,0.9550561797752809
0.021944373564684868,0.9555555555555556
0.022199540699157947,0.9560439560439561
0.02245470783363103,0.9565217391304348
0.02245470783363103,0.946236559139785
0.02270987496810411,0.9468085106382979
0.022965042102577188,0.9473684210526315
0.023220209237050267,0.9479166666666666
0.02347537637152335,0.9484536082474226
0.02373054350599643,0.9489795918367347
0.023985710640469508,0.9494949494949495
0.024240877774942587,0.95
0.024496044909415666,0.9504950495049505
0.02475121204388875,0.9509803921568627
0.025006379178361827,0.9514563106796117
0.025261546312834907,0.9519230769230769
0.025516713447307986,0.9523809523809523
0.025771880581781068,0.9528301886792453
0.026027047716254147,0.9532710280373832
0.026282214850727226,0.9537037037037037
0.026537381985200306,0.9541284403669725
0.026792549119673385,0.9545454545454546
0.027047716254146467,0.954954954954955
0.027302883388619546,0.9553571428571429
0.027558050523092625,0.9557522123893806
0.027813217657565704,0.956140350877193
0.027813217657565704,0.9478260869565217
0.028068384792038787,0.9482758620689655
0.028323551926511866,0.9487179487179487
0.028578719060984945,0.9491525423728814
0.028833886195458024,0.9495798319327731
0.029089053329931103,0.95
0.029089053329931103,0.9421487603305785
0.029344220464404186,0.9426229508196722
0.029599387598877265,0.943089430894309
0.029854554733350344,0.9435483870967742
0.030109721867823423,0.944
0.030364889002296506,0.9444444444444444
0.030620056136769585,0.9448818897637795
0.030875223271242664,0.9453125
0.031130390405715743,0.9457364341085271
0.031385557540188826,0.9461538461538461
0.031640724674661905,0.9465648854961832
0.031895891809134984,0.946969696969697
0.03215105894360806,0.9473684210526315
0.03240622607808114,0.9477611940298507
0.03266139321255422,0.9481481481481482
0.0329165603470273,0.9485294117647058
0.03317172748150038,0.948905109489051
0.033426894615973465,0.9492753623188406
0.033682061750446544,0.9496402877697842
0.033937228884919624,0.95
0.0341923960193927,0.950354609929078
0.03444756315386578,0.9507042253521126
0.03470273028833886,0.951048951048951
0.03495789742281194,0.9513888888888888
0.03521306455728502,0.9517241379310345
0.0354682316917581,0.952054794520548
0.035723398826231184,0.9523809523809523
0.03597856596070426,0.9527027027027027
0.03623373309517734,0.9530201342281879
0.03648890022965042,0.9533333333333334
0.03648890022965042,0.9470198675496688
0.0367440673641235,0.9473684210526315
0.03699923449859658,0.9477124183006536
0.03725440163306966,0.948051948051948
0.03750956876754274,0.9483870967741935
0.037764735902015824,0.9487179487179487
0.0380199030364889,0.9490445859872612
0.03827507017096198,0.9493670886075949
0.03827507017096198,0.9433962264150944
0.03853023730543506,0.94375
0.03878540443990814,0.9440993788819876
