set,city,label_id,pano_id,present
hf_validated,pittsburgh-pa,14505,-rPfxRsIp9NFeMyfCeFyPA,1
hf_validated,pittsburgh-pa,7085,C62T6z7vZ1sdfUP1HcHilg,1
hf_validated,oradell-nj,6913,kFM7UUg5oX2hKNae547fbA,1
hf_validated,seattle-wa,262901,mVmOer9uQlLpiFr7mvw2gg,1
hf_validated,cdmx,3568,Fa9ht3nv_i7AUJAW2j2Omw,1
hf_validated,chicago-il,22457,Jr9DGZt8Cv9tdIw4aoT4Uw,1
hf_validated,seattle-wa,67634,mtWXDZVtYJ6Jht2fOAYvKw,1
hf_validated,newberg-or,10939,8HiTu3sB6JFLf_XbvlWCeA,1
hf_validated,oradell-nj,7544,m6Y7nsktOj-JrF3fCYtH7w,1
hf_validated,chicago-il,12731,GxEy1tn0TUPrXYuVHMZFSA,1
hf_validated,chicago-il,22654,xZhxBQ98eE8kWVSVNl05UQ,1
hf_validated,oradell-nj,7559,e1daJkcl1pIlYMgnR5Jjfg,1
hf_validated,newberg-or,14942,QhRXD-dgARgPJKE7QBmxIA,1
hf_validated,amsterdam,379,FBCVzaNUI000-fDHf-qdvA,1
hf_validated,seattle-wa,259711,7yGyVazQrpOpBh3BspmIDw,1
hf_validated,seattle-wa,125764,v9r_qVUOiCTlTdNyc7juIQ,1
hf_validated,seattle-wa,53475,aS-_xtnU_Aq7B9qtE6ktkg,1
hf_validated,seattle-wa,27556,P0O7rq-kDAMZxxpo2rZPKw,1
hf_validated,cdmx,5311,WlBnHk9ULjbn_XntIiFcpA,1
hf_validated,chicago-il,20718,wu6sIdQq4IOvuSuypU_H7g,1
hf_validated,oradell-nj,7142,YlK3MFCpBqOFYoYA9jbspA,1
hf_validated,columbus-oh,1616,uCTuKoIYoEdIAhyUBsGxrg,1
hf_validated,spgg,51275,culI_Ac11EhES2NBtZPdkA,1
hf_validated,chicago-il,6318,hR6Zcp5_63nTrsx2kJ_kbA,1
hf_validated,columbus-oh,787,HvpxE1P_qlHd_L1vYXhyxg,1
hf_validated,seattle-wa,247426,kmMgT-PNgAPl8IcAkd-hCg,1
hf_validated,oradell-nj,13315,XpygTrza-ZKpNGJzxnHhqw,1
hf_validated,seattle-wa,211707,q0fq8sXs54LIeZA6Yk-xYg,1
hf_validated,chicago-il,1205,4Kipj-av8Mc6-H7jKKmnUQ,1
hf_validated,newberg-or,6011,-fL-a0RKW2AF-fRMD3ULPw,1
hf_validated,spgg,50616,VeUDGer9TOCDZedeYho8nw,1
hf_validated,columbus-oh,13656,KPHVNm5GNpZdq4T8VmkrAQ,1
hf_validated,chicago-il,4855,8jt4pTAvji9i58NJn10r0Q,1
hf_validated,seattle-wa,38286,vv7VxUudWZKrZ1qBQ5MYHw,1
hf_validated,seattle-wa,71447,XCUydBdHL8XZDpQ12Omtiw,1
hf_validated,newberg-or,3180,9TWRMmx65hEUsd27jG1-AQ,1
hf_validated,newberg-or,3248,KwDpTkNKi-o4fRjEtUkkTg,1
hf_validated,chicago-il,255,lMKX_XAbqN97sFKJGkfooQ,1
hf_validated,chicago-il,12656,WGWI_fT9E6VrfXVP6esQDA,1
