epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,18691.1,1.42439,1.78812,1.5495,0.87911,0.46461,0.65494,0.34407,1.29443,2.15475,1.60019,0.00999989,0.0033333,0.00999989,0.0033333,0.00999989,0.0033333,0.00999989,0.0033333
2,18270.2,1.23796,1.67682,1.38557,0.15692,0.59146,0.30866,0.10046,2.10103,3.69541,2.39119,0.0196699,0.00655663,0.0196699,0.00655663,0.0196699,0.00655663,0.0196699,0.00655663
3,26482.8,1.20646,1.67449,1.36324,0.26701,0.08767,0.04223,0.00424,3.13441,5.81774,3.60727,0.0290099,0.00966997,0.0290099,0.00966997,0.0290099,0.00966997,0.0290099,0.00966997
