epoch,loss,train_exact_match_acc,epoch_s,saved
0,0.238851,0.464698,124.655022,best
1,0.188177,0.552838,119.095623,best
2,0.164722,0.58964,114.507385,best
3,0.146159,0.619405,113.756042,best
4,0.128723,0.648939,112.042503,best
5,0.111096,0.681818,111.547385,best
6,0.092828,0.729926,117.724903,best
7,0.074131,0.796147,110.217327,best
8,0.058255,0.854868,110.851257,best
9,0.044698,0.903553,111.216082,best
10,0.034228,0.93401,112.21378,best
11,0.027086,0.951546,110.909093,best
12,0.021308,0.964121,110.462964,best
13,0.016907,0.974965,111.706903,best
14,0.013738,0.980964,112.494992,best
15,0.011625,0.983964,110.163243,best
16,0.00953,0.988002,114.853303,best
17,0.007506,0.992732,114.694542,best
18,0.006511,0.994001,110.864734,best
19,0.005433,0.995616,116.126577,best
20,0.004874,0.995962,112.585567,best
21,0.004194,0.997,117.239877,best
22,0.003198,0.998385,112.692647,best
23,0.003089,0.997693,112.720814,
24,0.002984,0.997693,110.930129,
25,0.003009,0.996654,110.241899,
26,0.00211,0.998962,116.063053,best
27,0.001669,0.998962,109.576477,best
28,0.002412,0.996539,117.031283,
29,0.001754,0.998731,110.677687,
30,0.001334,0.999308,113.712936,best
31,0.001898,0.998039,109.315269,
32,0.001881,0.997808,110.022975,
33,0.001322,0.998962,113.099371,
34,0.000986,0.999308,110.622378,best
35,0.001647,0.998154,115.162866,
36,0.001047,0.998962,113.300691,
37,0.001512,0.996885,110.181476,
38,0.001684,0.997,110.981004,
39,0.001098,0.998616,109.088646,
40,0.00134,0.998269,109.192432,
41,0.000596,0.999769,110.704856,best
42,0.000999,0.998731,109.989046,
43,0.001643,0.997462,109.080963,
44,0.000578,0.999769,110.398831,best
45,0.001157,0.998154,109.454823,
46,0.001146,0.998154,110.64841,
47,0.001016,0.9985,110.546029,
48,0.001278,0.998039,109.409504,
49,0.000769,0.999077,109.334596,
50,0.001508,0.997347,109.854284,
51,0.000945,0.998846,109.064725,
52,0.000894,0.998385,109.447639,
53,0.000717,0.998962,109.713662,
54,0.001309,0.997231,109.291662,
55,0.001138,0.997693,110.427023,
56,0.000733,0.999192,115.667139,
57,0.00053,0.999654,110.206344,
58,0.00151,0.996654,109.361163,
59,0.001211,0.997577,109.779673,
60,0.000538,0.999308,110.070272,
61,0.001137,0.997462,110.326828,
62,0.000906,0.998385,109.16479,
63,0.000904,0.998269,108.893023,
64,0.001039,0.998154,116.956558,
65,0.001272,0.997808,117.407116,
66,0.001265,0.997923,124.967004,
67,0.000892,0.998962,122.5862,
68,0.0007,0.998616,116.824099,
69,0.000768,0.999077,110.083586,
70,0.001113,0.997577,109.944718,
71,0.000575,0.998962,113.207806,
72,0.00073,0.998616,109.337531,
73,0.00118,0.996885,109.415335,
74,0.000968,0.997923,111.894011,
75,0.000717,0.999308,117.163169,
76,0.000954,0.998039,119.163582,
77,0.001008,0.998385,116.163711,
78,0.000627,0.9985,113.250799,
79,0.000541,0.999077,118.943655,
80,0.001085,0.998385,117.549366,
81,0.000947,0.998039,112.686048,
82,0.000817,0.998039,109.592769,
83,0.000758,0.998269,109.492083,
84,0.000721,0.9985,109.274858,
85,0.00111,0.997462,113.401016,
86,0.000526,0.998962,112.87432,
87,0.000218,1.0,119.388651,best
88,0.000158,0.999885,110.335094,
89,0.001194,0.996654,109.883276,
90,0.000836,0.998154,109.994427,
91,0.000162,1.0,109.983876,best
92,8.7e-05,1.0,121.994092,best
93,6e-05,1.0,113.862514,best
94,0.00042,0.999077,113.248632,
95,0.000914,0.998154,109.677965,
96,0.00103,0.99677,109.532916,
97,0.000929,0.998039,109.505349,
98,0.001222,0.997116,117.487289,
99,0.000544,0.999077,110.969795,
