confidence_threshold,precision,recall
0.000,0.008933,0.937484
0.005,0.239143,0.937229
0.010,0.537156,0.936974
0.015,0.615811,0.936208
0.020,0.658410,0.935953
0.025,0.688438,0.935953
0.030,0.712177,0.935698
0.035,0.728682,0.935443
0.040,0.744314,0.935188
0.045,0.757444,0.934677
0.050,0.766764,0.933657
0.055,0.776928,0.933146
0.060,0.784381,0.932891
0.065,0.791811,0.932636
0.070,0.795554,0.931360
0.075,0.802464,0.930850
0.080,0.808025,0.930084
0.085,0.813979,0.930084
0.090,0.818692,0.929829
0.095,0.823343,0.928808
0.100,0.827343,0.928043
0.105,0.830365,0.928043
0.110,0.834902,0.927788
0.115,0.838486,0.927277
0.120,0.841752,0.927022
0.125,0.845527,0.926002
0.130,0.848258,0.925746
0.135,0.850739,0.924981
0.140,0.853877,0.924471
0.145,0.857481,0.924215
0.150,0.859279,0.923960
0.155,0.861905,0.923705
0.160,0.863832,0.922684
0.165,0.866315,0.922684
0.170,0.869231,0.922684
0.175,0.870812,0.921919
0.180,0.872793,0.920898
0.185,0.875516,0.920643
0.190,0.877740,0.919622
0.195,0.879639,0.919367
0.200,0.881763,0.919112
0.205,0.884549,0.918857
0.210,0.887355,0.918602
0.215,0.888889,0.918602
0.220,0.889768,0.918602
0.225,0.892193,0.918602
0.230,0.893522,0.918602
0.235,0.894632,0.918602
0.240,0.896114,0.917836
0.245,0.898127,0.917836
0.250,0.899425,0.917326
0.255,0.900727,0.916816
0.260,0.901104,0.916050
0.265,0.903072,0.915285
0.270,0.903754,0.915285
0.275,0.903730,0.915029
0.280,0.905003,0.914009
0.285,0.905918,0.914009
0.290,0.907042,0.913754
0.295,0.908422,0.913754
0.300,0.910269,0.913754
0.305,0.910664,0.912988
0.310,0.911547,0.912478
0.315,0.913155,0.912223
0.320,0.914512,0.911712
0.325,0.916603,0.911457
0.330,0.916774,0.910692
0.335,0.918147,0.910181
0.340,0.918599,0.909926
0.345,0.919979,0.909416
0.350,0.920114,0.908140
0.355,0.920746,0.907119
0.360,0.921462,0.907119
0.365,0.922358,0.906354
0.370,0.923477,0.905333
0.375,0.924563,0.903802
0.380,0.925955,0.903036
0.385,0.926421,0.902781
0.390,0.927092,0.902016
0.395,0.928759,0.901505
0.400,0.929945,0.900995
0.405,0.930925,0.900995
0.410,0.931590,0.899974
0.415,0.933545,0.899719
0.420,0.934465,0.898699
0.425,0.934644,0.897678
0.430,0.936267,0.895892
0.435,0.937183,0.894616
0.440,0.937183,0.894616
0.445,0.938136,0.893850
0.450,0.939109,0.893340
0.455,0.939801,0.892319
0.460,0.939769,0.891809
0.465,0.940005,0.891554
0.470,0.941478,0.890788
0.475,0.941669,0.889768
0.480,0.941798,0.887726
0.485,0.942532,0.887216
0.490,0.943176,0.885175
0.495,0.943689,0.885175
0.500,0.945232,0.885175
0.505,0.946448,0.883899
0.510,0.947959,0.883133
0.515,0.948655,0.881602
0.520,0.949395,0.880837
0.525,0.950096,0.879306
0.530,0.950566,0.878285
0.535,0.952064,0.876754
0.540,0.952804,0.875734
0.545,0.953560,0.874968
0.550,0.954026,0.873692
0.555,0.955599,0.873182
0.560,0.956290,0.870885
0.565,0.956802,0.870375
0.570,0.957548,0.869099
0.575,0.958275,0.867313
0.580,0.959028,0.866037
0.585,0.959773,0.864506
0.590,0.959932,0.861955
0.595,0.961243,0.860679
0.600,0.961747,0.859658
0.605,0.962550,0.859148
0.610,0.964429,0.857872
0.615,0.965468,0.856086
0.620,0.965955,0.854300
0.625,0.966195,0.853279
0.630,0.967284,0.852513
0.635,0.968060,0.850727
0.640,0.969105,0.848431
0.645,0.969352,0.847410
0.650,0.970175,0.846645
0.655,0.970959,0.844603
0.660,0.971740,0.842307
0.665,0.971993,0.841286
0.670,0.972206,0.838990
0.675,0.972453,0.837714
0.680,0.972684,0.835928
0.685,0.973488,0.833886
0.690,0.974589,0.831845
0.695,0.975412,0.830059
0.700,0.976233,0.828017
0.705,0.977335,0.825211
0.710,0.977603,0.824190
0.715,0.978175,0.823424
0.720,0.978116,0.821128
0.725,0.978042,0.818321
0.730,0.978274,0.815769
0.735,0.978802,0.812962
0.740,0.979327,0.809900
0.745,0.980471,0.807094
0.750,0.981285,0.802756
0.755,0.981801,0.798418
0.760,0.981715,0.794590
0.765,0.982578,0.791528
0.770,0.982770,0.785915
0.775,0.983013,0.782598
0.780,0.982909,0.777749
0.785,0.982815,0.773412
0.790,0.983100,0.771881
0.795,0.983317,0.767032
0.800,0.984148,0.760398
0.805,0.984370,0.755295
0.810,0.984915,0.749681
0.815,0.986125,0.743557
0.820,0.986348,0.737433
0.825,0.986919,0.731564
0.830,0.987835,0.725185
0.835,0.987719,0.718295
0.840,0.987977,0.712937
0.845,0.988202,0.705282
0.850,0.988423,0.697117
0.855,0.989346,0.687165
0.860,0.989967,0.679765
0.865,0.990207,0.670834
0.870,0.990061,0.660883
0.875,0.991082,0.652207
0.880,0.990934,0.641490
0.885,0.990688,0.624394
0.890,0.991286,0.609594
0.895,0.991515,0.596326
0.900,0.991721,0.580760
0.905,0.991495,0.565195
0.910,0.992104,0.545037
0.915,0.991727,0.520031
0.920,0.991295,0.494004
0.925,0.991323,0.466446
0.930,0.991384,0.440418
0.935,0.991395,0.411585
0.940,0.991520,0.387854
0.945,0.992292,0.361317
0.950,0.991692,0.335034
0.955,0.991028,0.310028
0.960,0.991928,0.282215
0.965,0.991000,0.252871
0.970,0.990011,0.227609
0.975,0.988834,0.203368
0.980,0.987517,0.181679
0.985,0.988728,0.156673
0.990,0.987037,0.136004
0.995,0.986900,0.115336
1.000,0.989691,0.097984
