confidence_threshold,precision,recall
0.000,0.007242,0.940036
0.005,0.285892,0.940036
0.010,0.493832,0.939781
0.015,0.580142,0.939270
0.020,0.632411,0.939015
0.025,0.669334,0.939015
0.030,0.697573,0.938760
0.035,0.717099,0.938505
0.040,0.735106,0.938250
0.045,0.750051,0.937994
0.050,0.761717,0.937229
0.055,0.772125,0.937229
0.060,0.782396,0.936719
0.065,0.789712,0.936208
0.070,0.796437,0.935443
0.075,0.801619,0.935188
0.080,0.807184,0.934677
0.085,0.812694,0.934422
0.090,0.818832,0.934167
0.095,0.824391,0.933146
0.100,0.829064,0.933146
0.105,0.834094,0.932636
0.110,0.838695,0.931360
0.115,0.843858,0.930850
0.120,0.848337,0.930595
0.125,0.851800,0.929829
0.130,0.853693,0.929064
0.135,0.856605,0.928298
0.140,0.859202,0.928043
0.145,0.861611,0.927788
0.150,0.864242,0.927533
0.155,0.865999,0.926767
0.160,0.867654,0.926767
0.165,0.869732,0.926767
0.170,0.871549,0.926257
0.175,0.873555,0.925491
0.180,0.874819,0.925491
0.185,0.877358,0.925491
0.190,0.878972,0.924726
0.195,0.879738,0.923960
0.200,0.881393,0.923450
0.205,0.883272,0.922940
0.210,0.884728,0.922429
0.215,0.886626,0.921919
0.220,0.888533,0.921409
0.225,0.889931,0.920133
0.230,0.891691,0.920133
0.235,0.892990,0.919878
0.240,0.894267,0.919367
0.245,0.895378,0.919367
0.250,0.896440,0.918857
0.255,0.899101,0.918602
0.260,0.900425,0.918347
0.265,0.901980,0.918091
0.270,0.903518,0.917581
0.275,0.904175,0.917326
0.280,0.904834,0.917071
0.285,0.905879,0.916050
0.290,0.907024,0.916050
0.295,0.908631,0.916050
0.300,0.909759,0.915795
0.305,0.911376,0.915795
0.310,0.912767,0.915795
0.315,0.914628,0.915795
0.320,0.915540,0.915540
0.325,0.916859,0.914519
0.330,0.917307,0.914264
0.335,0.918184,0.913498
0.340,0.919301,0.912733
0.345,0.920680,0.912223
0.350,0.921806,0.911457
0.355,0.923475,0.911457
0.360,0.924333,0.910181
0.365,0.925013,0.909671
0.370,0.926455,0.909671
0.375,0.927623,0.909161
0.380,0.928069,0.908650
0.385,0.928013,0.907885
0.390,0.928963,0.907629
0.395,0.929880,0.906864
0.400,0.930556,0.906098
0.405,0.931252,0.905588
0.410,0.932457,0.905333
0.415,0.932667,0.904823
0.420,0.933123,0.904312
0.425,0.934301,0.903547
0.430,0.935237,0.902781
0.435,0.936407,0.901761
0.440,0.937351,0.900995
0.445,0.937799,0.900230
0.450,0.938249,0.899464
0.455,0.938249,0.899464
0.460,0.939216,0.898954
0.465,0.940155,0.897933
