confidence_threshold,precision,recall
0.000,0.042710,0.933401
0.005,0.349350,0.933146
0.010,0.504347,0.932636
0.015,0.580143,0.931870
0.020,0.627279,0.930595
0.025,0.659544,0.929319
0.030,0.687524,0.928043
0.035,0.708772,0.927788
0.040,0.725384,0.926767
0.045,0.740869,0.926512
0.050,0.751657,0.926002
0.055,0.763357,0.926002
0.060,0.772311,0.925236
0.065,0.778183,0.924726
0.070,0.783427,0.923960
0.075,0.790266,0.923960
0.080,0.797312,0.923450
0.085,0.803778,0.922940
0.090,0.809044,0.922174
0.095,0.812922,0.921409
0.100,0.817112,0.921153
0.105,0.821868,0.920643
0.110,0.825321,0.919878
0.115,0.828808,0.919112
0.120,0.833758,0.918857
0.125,0.836626,0.918602
0.130,0.840346,0.917326
0.135,0.844978,0.916560
0.140,0.849302,0.916050
0.145,0.851922,0.916050
0.150,0.855439,0.915029
0.155,0.859300,0.914774
0.160,0.861439,0.913754
0.165,0.864251,0.912988
0.170,0.867119,0.912478
0.175,0.869407,0.912223
0.180,0.872133,0.911967
0.185,0.874326,0.910692
0.190,0.875921,0.909671
0.195,0.877802,0.909161
0.200,0.880129,0.908650
0.205,0.882222,0.907885
0.210,0.883669,0.907119
0.215,0.885565,0.906354
0.220,0.887334,0.906354
0.225,0.890171,0.905843
0.230,0.891206,0.905078
0.235,0.892839,0.903547
0.240,0.895322,0.903547
0.245,0.896858,0.903036
0.250,0.899797,0.902781
0.255,0.901096,0.902016
0.260,0.903605,0.901761
0.265,0.904408,0.900485
0.270,0.906170,0.899464
0.275,0.906540,0.898443
0.280,0.908363,0.897933
0.285,0.909702,0.897168
0.290,0.911307,0.896657
0.295,0.913179,0.896402
0.300,0.914345,0.896147
0.305,0.915471,0.895381
0.310,0.916884,0.895126
0.315,0.917256,0.893850
0.320,0.918373,0.892830
0.325,0.918748,0.891554
0.330,0.919695,0.891299
0.335,0.921067,0.890278
0.340,0.921491,0.889513
0.345,0.923893,0.889002
0.350,0.924118,0.888747
0.355,0.924057,0.887982
0.360,0.925000,0.887471
0.365,0.925640,0.886195
0.370,0.927331,0.885685
0.375,0.928763,0.884920
0.380,0.928916,0.883644
0.385,0.929876,0.883133
0.390,0.931499,0.881347
0.395,0.932180,0.880327
0.400,0.932900,0.879816
0.405,0.933532,0.878030
0.410,0.934021,0.877775
0.415,0.935475,0.876754
0.420,0.936170,0.875734
0.425,0.937363,0.874458
0.430,0.938546,0.872927
0.435,0.938961,0.871396
0.440,0.940512,0.871396
0.445,0.941777,0.870885
0.450,0.943047,0.870375
0.455,0.943276,0.869865
0.460,0.943674,0.867823
0.465,0.944414,0.867058
0.470,0.944878,0.866037
0.475,0.945125,0.865782
0.480,0.945916,0.865782
0.485,0.946663,0.865017
0.490,0.946853,0.863741
0.495,0.947826,0.862210
0.500,0.948596,0.861699
0.505,0.949339,0.860679
0.510,0.950325,0.859148
0.515,0.950551,0.858382
0.520,0.951061,0.857872
0.525,0.952638,0.857106
0.530,0.953654,0.855831
0.535,0.954157,0.855065
0.540,0.954934,0.854300
0.545,0.955987,0.853534
0.550,0.956186,0.852003
0.555,0.956971,0.851238
0.560,0.957734,0.849962
0.565,0.958237,0.848941
0.570,0.958718,0.847410
0.575,0.959491,0.846134
0.580,0.959988,0.844858
0.585,0.961069,0.844093
0.590,0.961863,0.843072
0.595,0.962369,0.841796
0.600,0.962855,0.840010
0.605,0.963397,0.839500
0.610,0.963604,0.837714
0.615,0.964401,0.836438
0.620,0.964928,0.835417
0.625,0.965415,0.833376
0.630,0.966805,0.832355
0.635,0.968174,0.830569
0.640,0.968126,0.829293
0.645,0.968657,0.828017
0.650,0.969217,0.827507
0.655,0.970042,0.826231
0.660,0.970288,0.824955
0.665,0.971687,0.823169
0.670,0.971601,0.820618
0.675,0.972694,0.818066
0.680,0.973203,0.815514
0.685,0.973998,0.812452
0.690,0.974831,0.810411
0.695,0.974754,0.807859
0.700,0.975232,0.803776
0.705,0.975784,0.801990
0.710,0.976331,0.799949
0.715,0.977806,0.798163
0.720,0.978643,0.795101
0.725,0.979160,0.791273
0.730,0.979087,0.788466
0.735,0.979266,0.783363
0.740,0.979461,0.778770
0.745,0.979710,0.776218
0.750,0.979922,0.772136
0.755,0.980513,0.770350
0.760,0.981379,0.766522
0.765,0.981955,0.763715
0.770,0.982474,0.758102
0.775,0.983045,0.754529
0.780,0.982949,0.750191
0.785,0.983154,0.744578
0.790,0.983379,0.739730
0.795,0.983584,0.733861
0.800,0.984116,0.727226
0.805,0.984653,0.720337
0.810,0.984848,0.713192
0.815,0.985043,0.705792
0.820,0.985215,0.697117
0.825,0.985828,0.692268
0.830,0.986770,0.685124
0.835,0.987332,0.676193
0.840,0.987585,0.669814
0.845,0.987342,0.656800
0.850,0.987529,0.646594
0.855,0.987723,0.636387
0.860,0.988701,0.625159
0.865,0.988875,0.612401
0.870,0.988693,0.602450
0.875,0.988466,0.590457
0.880,0.989917,0.576167
0.885,0.990068,0.559582
0.890,0.989739,0.541465
0.895,0.990366,0.524624
0.900,0.990462,0.503445
0.905,0.990496,0.478694
0.910,0.989983,0.453942
0.915,0.990029,0.430722
0.920,0.990148,0.410309
0.925,0.990741,0.382240
0.930,0.990787,0.356724
0.935,0.990061,0.330441
0.940,0.990041,0.304414
0.945,0.989071,0.277112
0.950,0.987976,0.251595
0.955,0.988688,0.223016
0.960,0.988402,0.195713
0.965,0.989583,0.169686
0.970,0.987784,0.144425
0.975,0.987854,0.124522
0.980,0.988067,0.105639
0.985,0.986301,0.091860
0.990,0.983389,0.075529
0.995,0.983871,0.062261
1.000,0.979381,0.048482
