confidence_threshold,precision,recall
0.000,0.006672,0.934677
0.005,0.365068,0.934422
0.010,0.561092,0.933912
0.015,0.632808,0.933146
0.020,0.681267,0.932636
0.025,0.713171,0.932636
0.030,0.734513,0.931870
0.035,0.753665,0.931360
0.040,0.770988,0.930339
0.045,0.784115,0.929574
0.050,0.795976,0.928808
0.055,0.804377,0.928553
0.060,0.811872,0.928298
0.065,0.820171,0.927533
0.070,0.825267,0.926767
0.075,0.831654,0.926512
0.080,0.835790,0.926002
0.085,0.839741,0.925236
0.090,0.844005,0.924981
0.095,0.848911,0.924726
0.100,0.852235,0.924215
0.105,0.856568,0.923450
0.110,0.858770,0.923195
0.115,0.860781,0.922940
0.120,0.864451,0.922684
0.125,0.867322,0.922429
0.130,0.870005,0.922174
0.135,0.872525,0.922174
0.140,0.874576,0.921664
0.145,0.876822,0.920898
0.150,0.879357,0.920643
0.155,0.881476,0.920388
0.160,0.883305,0.919367
0.165,0.884956,0.918602
0.170,0.886834,0.917836
0.175,0.888944,0.917071
0.180,0.891094,0.916560
0.185,0.892866,0.916560
0.190,0.894343,0.915795
0.195,0.896104,0.915540
0.200,0.897673,0.915540
0.205,0.898547,0.915285
0.210,0.900754,0.914774
0.215,0.901107,0.913754
0.220,0.902396,0.912988
0.225,0.903739,0.912733
0.230,0.906234,0.912478
0.235,0.906440,0.912223
0.240,0.908236,0.911712
0.245,0.908651,0.911202
0.250,0.909531,0.910692
0.255,0.910646,0.910181
0.260,0.912020,0.909926
0.265,0.912888,0.909161
0.270,0.913568,0.908905
0.275,0.914014,0.908650
0.280,0.914675,0.908140
0.285,0.916088,0.908140
0.290,0.917225,0.907629
0.295,0.918151,0.907374
0.300,0.919751,0.906609
0.305,0.919969,0.906354
0.310,0.920882,0.905843
0.315,0.922257,0.905078
0.320,0.923418,0.904567
0.325,0.924381,0.904567
0.330,0.925104,0.904567
0.335,0.925268,0.903547
0.340,0.925955,0.903036
0.345,0.926925,0.903036
0.350,0.928065,0.902016
0.355,0.928271,0.901505
0.360,0.929211,0.900995
0.365,0.929211,0.900995
0.370,0.929437,0.900740
0.375,0.930171,0.900740
0.380,0.931135,0.900485
0.385,0.932064,0.899719
0.390,0.932751,0.898954
0.395,0.933952,0.898443
0.400,0.934165,0.897933
0.405,0.935407,0.897933
0.410,0.936102,0.897168
0.415,0.936601,0.897168
0.420,0.936999,0.895637
0.425,0.937216,0.895126
0.430,0.938186,0.894616
0.435,0.938672,0.894361
0.440,0.939361,0.893340
0.445,0.940559,0.892319
0.450,0.941287,0.891809
0.455,0.942271,0.891299
0.460,0.943514,0.890788
0.465,0.944264,0.890533
0.470,0.944520,0.890533
0.475,0.945755,0.889768
0.480,0.946210,0.888747
0.485,0.946968,0.888492
0.490,0.947454,0.887982
0.495,0.947942,0.887471
0.500,0.948431,0.886961
0.505,0.948879,0.885685
0.510,0.949125,0.885430
0.515,0.949808,0.883644
0.520,0.950851,0.883644
0.525,0.951870,0.883133
0.530,0.951844,0.882623
0.535,0.952328,0.881858
0.540,0.953354,0.881347
0.545,0.953842,0.880582
0.550,0.954357,0.880327
0.555,0.955389,0.879816
0.560,0.956389,0.878540
0.565,0.956377,0.878285
0.570,0.956558,0.876499
0.575,0.957334,0.875989
0.580,0.957786,0.874203
0.585,0.958030,0.873692
0.590,0.959573,0.872161
0.595,0.960045,0.870630
0.600,0.960270,0.869610
0.605,0.961560,0.868079
0.610,0.962627,0.867568
0.615,0.963667,0.866292
0.620,0.963879,0.864761
0.625,0.964897,0.862720
0.630,0.965675,0.861444
0.635,0.965903,0.860168
0.640,0.965854,0.858893
0.645,0.965765,0.856596
0.650,0.965975,0.854810
0.655,0.966474,0.853279
0.660,0.966985,0.852003
0.665,0.966889,0.849451
0.670,0.966832,0.847920
0.675,0.967280,0.844858
0.680,0.967817,0.844093
0.685,0.967770,0.842817
0.690,0.968824,0.840521
0.695,0.969947,0.840010
0.700,0.969894,0.838479
0.705,0.970972,0.836438
0.710,0.971760,0.834141
0.715,0.971676,0.831590
0.720,0.972455,0.828783
0.725,0.972623,0.824955
0.730,0.973406,0.821893
0.735,0.973333,0.819597
0.740,0.973301,0.818576
0.745,0.973508,0.815769
0.750,0.975528,0.813728
0.755,0.976044,0.810921
0.760,0.976293,0.809135
0.765,0.976500,0.805818
0.770,0.976997,0.801990
0.775,0.977840,0.799439
0.780,0.978008,0.794335
0.785,0.978199,0.789997
0.790,0.978594,0.781577
0.795,0.979408,0.776729
0.800,0.980233,0.771881
0.805,0.981675,0.765501
0.810,0.981836,0.758612
0.815,0.982983,0.751722
0.820,0.983457,0.743302
0.825,0.983651,0.736923
0.830,0.984531,0.730799
0.835,0.986359,0.719571
0.840,0.987198,0.708344
0.845,0.987046,0.699923
0.850,0.988334,0.691758
0.855,0.988170,0.682062
0.860,0.988337,0.670324
0.865,0.988475,0.656545
0.870,0.988605,0.642001
0.875,0.989499,0.625159
0.880,0.989548,0.603981
0.885,0.990073,0.585353
0.890,0.990579,0.563409
0.895,0.991101,0.539934
0.900,0.992210,0.520031
0.905,0.992821,0.494004
0.910,0.993457,0.464915
0.915,0.992995,0.434039
0.920,0.994406,0.408267
0.925,0.993956,0.377647
0.930,0.994061,0.341669
0.935,0.994196,0.305945
0.940,0.993525,0.274050
0.945,0.993814,0.245981
0.950,0.992925,0.214851
0.955,0.993113,0.183976
0.960,0.993600,0.158459
0.965,0.994455,0.137280
0.970,0.995546,0.114060
0.975,0.994366,0.090074
0.980,0.993197,0.074509
0.985,0.995690,0.058944
0.990,0.994681,0.047716
0.995,0.993056,0.036489
1.000,0.991304,0.029089
