confidence_threshold,precision,recall
0.000,0.005430,0.933657
0.005,0.379988,0.933146
0.010,0.584212,0.932891
0.015,0.665694,0.931870
0.020,0.707970,0.931615
0.025,0.737917,0.931105
0.030,0.759109,0.930339
0.035,0.773741,0.929319
0.040,0.788220,0.928808
0.045,0.797938,0.928043
0.050,0.808009,0.926767
0.055,0.817568,0.926257
0.060,0.825968,0.925236
0.065,0.831535,0.924471
0.070,0.837494,0.924471
0.075,0.842130,0.924215
0.080,0.846262,0.924215
0.085,0.849730,0.923450
0.090,0.853941,0.923450
0.095,0.856500,0.922940
0.100,0.858636,0.922174
0.105,0.862118,0.922174
0.110,0.865564,0.921664
0.115,0.868655,0.921409
0.120,0.871919,0.920643
0.125,0.874090,0.919367
0.130,0.876612,0.919112
0.135,0.878477,0.918602
0.140,0.880999,0.918091
0.145,0.882209,0.917326
0.150,0.885630,0.916816
0.155,0.887735,0.916050
0.160,0.889715,0.916050
0.165,0.892786,0.915795
0.170,0.894094,0.915540
0.175,0.896302,0.915285
0.180,0.898297,0.915029
0.185,0.900528,0.914774
0.190,0.902292,0.914264
0.195,0.904317,0.914009
0.200,0.905183,0.913498
0.205,0.906464,0.912478
0.210,0.906646,0.911967
0.215,0.908259,0.911967
0.220,0.909369,0.911457
0.225,0.910714,0.910947
0.230,0.911855,0.910692
0.235,0.912788,0.910692
0.240,0.913934,0.910436
0.245,0.915341,0.910436
0.250,0.916260,0.910181
0.255,0.916495,0.910181
0.260,0.917674,0.910181
0.265,0.919093,0.910181
0.270,0.919763,0.909671
0.275,0.920176,0.908905
0.280,0.920848,0.908395
0.285,0.921305,0.908140
0.290,0.921940,0.907119
0.295,0.922618,0.906609
0.300,0.922577,0.906098
0.305,0.923497,0.905588
0.310,0.924641,0.904823
0.315,0.924622,0.904567
0.320,0.924863,0.904567
0.325,0.925346,0.904567
0.330,0.926536,0.904312
0.335,0.926740,0.903802
0.340,0.927187,0.903292
0.345,0.927897,0.903036
0.350,0.928834,0.902526
0.355,0.929059,0.902271
0.360,0.929285,0.902016
0.365,0.930508,0.902016
0.370,0.931243,0.902016
0.375,0.932700,0.901761
0.380,0.934127,0.900995
0.385,0.935330,0.900485
0.390,0.935578,0.900485
0.395,0.936057,0.900230
0.400,0.936453,0.898699
0.405,0.936901,0.897933
0.410,0.937134,0.897678
0.415,0.937617,0.897423
0.420,0.938084,0.896912
0.425,0.939037,0.896147
0.430,0.939491,0.895381
0.435,0.940247,0.895381
0.440,0.941492,0.895126
0.445,0.942411,0.893595
0.450,0.942903,0.893340
0.455,0.943381,0.892830
0.460,0.943860,0.892319
0.465,0.944339,0.891809
0.470,0.944535,0.890788
0.475,0.944760,0.890278
0.480,0.945228,0.889513
0.485,0.945968,0.889002
0.490,0.946467,0.888747
0.495,0.947956,0.887726
0.500,0.948201,0.887471
0.505,0.948676,0.886706
0.510,0.949932,0.885940
0.515,0.949877,0.884920
0.520,0.950110,0.884409
0.525,0.951072,0.882878
0.530,0.951529,0.881602
0.535,0.952302,0.881347
0.540,0.952828,0.881347
0.545,0.954118,0.880837
0.550,0.954068,0.879816
0.555,0.955340,0.878796
0.560,0.955784,0.877009
0.565,0.955760,0.876499
0.570,0.956206,0.874713
0.575,0.957471,0.873182
0.580,0.957715,0.872672
0.585,0.958497,0.872161
0.590,0.958743,0.871651
0.595,0.959786,0.870885
0.600,0.960045,0.870630
0.605,0.960023,0.870120
0.610,0.960552,0.869865
0.615,0.961061,0.869099
0.620,0.962376,0.868079
0.625,0.962596,0.866803
0.630,0.963058,0.864761
0.635,0.963300,0.863996
0.640,0.963206,0.861699
0.645,0.963673,0.859658
0.650,0.964460,0.858637
0.655,0.965230,0.857106
0.660,0.966263,0.855065
0.665,0.966474,0.853279
0.670,0.967004,0.852513
0.675,0.967227,0.850982
0.680,0.967714,0.848941
0.685,0.967911,0.846645
0.690,0.968347,0.843072
0.695,0.969403,0.840776
0.700,0.970484,0.838990
0.705,0.970719,0.837459
0.710,0.970606,0.834141
0.715,0.971114,0.832100
0.720,0.971335,0.830059
0.725,0.972106,0.826997
0.730,0.972949,0.825976
0.735,0.973374,0.820873
0.740,0.973916,0.819342
0.745,0.974125,0.816535
0.750,0.977008,0.813218
0.755,0.978408,0.809390
0.760,0.978889,0.804542
0.765,0.980037,0.801735
0.770,0.980872,0.798163
