recall,precision
0.0,1.0
0.00025516713447307985,1.0
0.0005103342689461597,1.0
0.0007655014034192396,1.0
0.0010206685378923194,1.0
0.0012758356723653994,1.0
0.0015310028068384791,1.0
0.001786169941311559,1.0
0.002041337075784639,1.0
0.0022965042102577188,1.0
0.0025516713447307987,1.0
0.0028068384792038787,1.0
0.0030620056136769582,1.0
0.003317172748150038,1.0
0.003572339882623118,1.0
0.003827507017096198,1.0
0.004082674151569278,1.0
0.004337841286042358,1.0
0.0045930084205154376,1.0
0.0048481755549885175,1.0
0.0051033426894615975,1.0
0.0053585098239346774,1.0
0.005613676958407757,1.0
0.005868844092880837,1.0
0.0061240112273539165,1.0
0.006379178361826996,1.0
0.006634345496300076,1.0
0.006889512630773156,1.0
0.007144679765246236,1.0
0.007399846899719316,1.0
0.007655014034192396,1.0
0.007910181168665476,1.0
0.008165348303138555,1.0
0.008420515437611636,1.0
0.008675682572084715,1.0
0.008930849706557796,1.0
0.009186016841030875,1.0
0.009441183975503956,1.0
0.009696351109977035,1.0
0.009951518244450114,1.0
0.010206685378923195,1.0
0.010461852513396274,1.0
0.010717019647869355,1.0
0.010972186782342434,1.0
0.011227353916815515,1.0
0.011482521051288594,1.0
0.011737688185761675,1.0
0.011992855320234754,1.0
0.012248022454707833,1.0
0.012503189589180914,1.0
0.012758356723653993,1.0
0.013013523858127074,1.0
0.013268690992600153,1.0
0.013523858127073234,1.0
0.013779025261546313,1.0
0.014034192396019394,1.0
0.014289359530492473,1.0
0.014544526664965552,1.0
0.014799693799438633,1.0
0.015054860933911712,1.0
0.015310028068384792,1.0
0.015565195202857872,1.0
0.015820362337330952,1.0
0.01607552947180403,1.0
0.01633069660627711,1.0
0.01658586374075019,1.0
0.016841030875223272,1.0
0.01709619800969635,1.0
0.01735136514416943,1.0
0.01760653227864251,1.0
0.017861699413115592,1.0
0.01811686654758867,1.0
0.01837203368206175,1.0
0.01862720081653483,1.0
0.018882367951007912,1.0
0.01913753508548099,1.0
0.01939270221995407,1.0
0.01964786935442715,1.0
0.01990303648890023,1.0
0.02015820362337331,1.0
0.02015820362337331,0.9936708860759493
0.02041337075784639,0.9936708860759493
0.02066853789231947,0.9936708860759493
0.020923705026792548,0.9936708860759493
0.02117887216126563,0.9936708860759493
0.02143403929573871,0.9936708860759493
0.02168920643021179,0.9936708860759493
0.021944373564684868,0.9936708860759493
0.022199540699157947,0.9936708860759493
0.02245470783363103,0.9936708860759493
0.02270987496810411,0.9936708860759493
0.022965042102577188,0.9936708860759493
0.023220209237050267,0.9936708860759493
0.02347537637152335,0.9936708860759493
0.02373054350599643,0.9936708860759493
0.023985710640469508,0.9936708860759493
0.024240877774942587,0.9936708860759493
0.024496044909415666,0.9936708860759493
0.02475121204388875,0.9936708860759493
0.025006379178361827,0.9936708860759493
0.025261546312834907,0.9936708860759493
0.025516713447307986,0.9936708860759493
0.025771880581781068,0.9936708860759493
0.026027047716254147,0.9936708860759493
0.026282214850727226,0.9936708860759493
0.026537381985200306,0.9936708860759493
0.026792549119673385,0.9936708860759493
0.027047716254146467,0.9936708860759493
0.027302883388619546,0.9936708860759493
