epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,25141.1,1.38079,1.74932,1.51393,0.8684,0.51271,0.68614,0.36579,1.22702,2.08054,1.54884,0.00999978,0.00333326,0.00999978,0.00333326,0.00999978,0.00333326,0.00999978,0.00333326
2,52344.1,1.15849,1.60086,1.35998,0.1875,0.57327,0.31469,0.10316,2.13366,3.69318,2.39989,0.0196698,0.0065566,0.0196698,0.0065566,0.0196698,0.0065566,0.0196698,0.0065566
3,77298.4,1.12466,1.59631,1.35229,0.30479,0.20873,0.11628,0.0202,2.76985,4.97414,2.89662,0.0290098,0.00966993,0.0290098,0.00966993,0.0290098,0.00966993,0.0290098,0.00966993
4,10462.6,1.13473,1.62025,1.36627,0.83622,0.25306,0.44139,0.20714,1.69264,2.96383,1.86641,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,20930,1.07705,1.57549,1.34449,0.82266,0.57319,0.70598,0.42254,0.99571,1.71777,1.41189,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,31404.6,1.06459,1.5605,1.32811,0.83885,0.63528,0.75867,0.46021,0.93949,1.53022,1.36456,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,41878.9,1.05513,1.5576,1.32552,0.83135,0.6501,0.7692,0.4661,0.93298,1.48958,1.36755,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,52347,1.05142,1.55386,1.33098,0.82908,0.65486,0.77286,0.46812,0.93709,1.47463,1.37922,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,62822.9,1.04728,1.55257,1.32921,0.82504,0.66041,0.77477,0.46919,0.9409,1.46523,1.38572,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,73279.5,1.04628,1.54664,1.32491,0.82455,0.66315,0.77534,0.46899,0.94594,1.4554,1.39316,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,83742.4,1.0411,1.5439,1.32823,0.82387,0.66195,0.77516,0.46883,0.94146,1.45985,1.40019,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,10378.2,1.03676,1.53875,1.3231,0.82305,0.66225,0.77569,0.46896,0.9473,1.44793,1.4049,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,20749.8,1.03946,1.54059,1.31599,0.8252,0.66008,0.77519,0.46839,0.94142,1.4559,1.39405,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,31124.7,1.03856,1.53623,1.32156,0.82553,0.66132,0.77527,0.46869,0.94443,1.45209,1.39713,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,41483.2,1.03633,1.53291,1.31772,0.8256,0.6627,0.77585,0.4694,0.94888,1.44619,1.3977,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,51852.2,1.03147,1.53403,1.3199,0.82326,0.65946,0.77523,0.46949,0.9471,1.44455,1.39833,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,62223.5,1.03033,1.53341,1.31525,0.82529,0.65911,0.77561,0.47011,0.9424,1.44747,1.39225,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,72587.4,1.02683,1.53463,1.32414,0.82392,0.66185,0.77614,0.47014,0.94331,1.44522,1.40247,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,82971.6,1.02522,1.53168,1.32114,0.82339,0.66084,0.77586,0.46982,0.94609,1.44013,1.40594,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,10341.5,1.0194,1.52283,1.31544,0.82333,0.66152,0.7765,0.47004,0.94755,1.43695,1.4081,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,20684.2,1.023,1.52021,1.3131,0.82402,0.66261,0.77635,0.4699,0.94928,1.43571,1.40862,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,31030.6,1.02229,1.51917,1.31366,0.82496,0.66016,0.77576,0.47006,0.95105,1.43138,1.40722,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,41376.7,1.02005,1.51924,1.31215,0.82418,0.6608,0.77601,0.46922,0.95089,1.43153,1.41091,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
24,51730.6,1.01813,1.51542,1.31291,0.82352,0.66048,0.77641,0.47041,0.95156,1.42973,1.4119,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
25,62095.7,1.01661,1.51815,1.31231,0.82444,0.66002,0.7765,0.47099,0.94944,1.43193,1.40684,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
26,72446.4,1.01647,1.51485,1.30187,0.82328,0.66081,0.77755,0.47166,0.95363,1.42286,1.40371,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
27,82799.2,1.01487,1.51146,1.30696,0.8228,0.66158,0.77798,0.47177,0.95855,1.41523,1.40717,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
28,10410.4,1.00769,1.5033,1.29718,0.821,0.6609,0.77775,0.47214,0.95778,1.41352,1.40541,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
29,20842.5,1.01109,1.5018,1.31212,0.82197,0.66209,0.77828,0.47152,0.95656,1.41738,1.41594,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
30,31272.8,1.00894,1.50639,1.29606,0.81884,0.65941,0.77638,0.47119,0.95286,1.42251,1.40023,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
31,41693.6,1.00603,1.49862,1.3024,0.82342,0.6619,0.77914,0.47241,0.95162,1.42104,1.40195,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
32,52099.6,1.00088,1.4988,1.30762,0.8212,0.66077,0.77903,0.4726,0.95083,1.42137,1.40847,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,62502.1,1.00189,1.49886,1.30258,0.82292,0.66048,0.77933,0.47338,0.95006,1.41802,1.4084,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,72907,0.99825,1.49405,1.29928,0.82264,0.66002,0.7788,0.47407,0.94579,1.41637,1.40668,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,83314.4,0.99594,1.48989,1.30424,0.82029,0.66052,0.77884,0.47465,0.95074,1.40866,1.41379,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,10404.3,0.99189,1.47945,1.2958,0.81638,0.6631,0.77944,0.47482,0.9531,1.40154,1.41385,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,20788.5,0.99144,1.48748,1.28605,0.81594,0.66218,0.7797,0.47517,0.94924,1.40587,1.4045,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,31177.6,0.98919,1.48529,1.28747,0.81571,0.66213,0.77913,0.47511,0.95099,1.40342,1.40427,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,41554.8,0.98902,1.47828,1.28346,0.82134,0.66092,0.78089,0.47621,0.95095,1.39977,1.40055,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
