epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,20051.5,1.42301,2.03216,0.00647,0.66595,0.55011,0.64742,0.35579,1.20557,1.79447,0.00631,0.00999989,0.0033333,0.00999989,0.0033333,0.00999989,0.0033333,0.00999989,0.0033333
2,19265.3,1.2233,1.72429,0.00533,0.60321,0.53767,0.60144,0.35348,1.11243,1.81904,0.0057,0.0196699,0.00655663,0.0196699,0.00655663,0.0196699,0.00655663,0.0196699,0.00655663
3,27505.8,1.20769,1.74667,0.00523,0.51781,0.18848,0.27961,0.11929,2.03582,2.99481,0.01242,0.0290099,0.00966997,0.0290099,0.00966997,0.0290099,0.00966997,0.0290099,0.00966997
4,18537.9,1.18217,1.74769,0.00511,0.51026,0.18453,0.25109,0.09676,2.24683,3.28992,0.01438,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,16030.4,1.14534,1.71731,0.00493,0.56391,0.51309,0.56187,0.34272,1.03768,1.75055,0.00533,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,18823.7,1.12133,1.69244,0.00481,0.61128,0.57329,0.6331,0.39438,0.95064,1.55517,0.0048,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,17101.5,1.10608,1.67684,0.00474,0.6243,0.58736,0.65328,0.40922,0.92487,1.50549,0.00468,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,18720.2,1.09748,1.66469,0.0047,0.63647,0.59232,0.66505,0.41677,0.91823,1.48163,0.00465,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,18651.3,1.08924,1.64915,0.00467,0.64778,0.59577,0.67386,0.42171,0.91631,1.46926,0.00465,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
