split,op_threshold,precision_raw,precision_corrected,precision_band_high,recall_raw,recall_corrected,n_A,n_B,n_U,n_A_suspect,n_incremental
richmond,0.25,0.87248322147651,0.889261744966443,0.8993288590604027,0.8387096774193549,0.8412698412698413,5,21,3,0,29
bend,0.25,0.9039735099337748,0.9271523178807947,0.9337748344370861,0.8348623853211009,0.8383233532934131,7,15,2,0,24
clovis,0.25,0.82,0.855,0.87,0.841025641025641,0.8465346534653465,7,13,3,1,23
morgantown,0.25,0.86,0.876,0.88,0.8052434456928839,0.8081180811808119,4,25,1,1,30
annapolis,0.25,0.8804347826086957,0.9021739130434783,0.9239130434782609,0.826530612244898,0.83,6,15,6,0,27
budapest_district5,0.25,0.6360655737704918,0.7114754098360656,0.7344262295081967,0.6466666666666666,0.6718266253869969,23,59,7,1,89
POOLED,0.25,0.8710407239819005,0.8929110105580694,0.9042232277526395,0.8291457286432161,0.8326300984528833,29,89,15,2,133
