group,arm,threshold,precision,recall,f1,precision_lo,precision_hi,recall_lo,recall_hi,tp,fp,fn,ignored,dets_per_pano,n_panos
richmond,single,0.05,0.5861344537815126,0.9,0.7099236641221374,0.5413702463273281,0.6295194806158965,0.8615534468113268,0.9286540973765693,279,197,31,61,4.330645161290323,124
richmond,single,0.1,0.7057291666666666,0.8741935483870967,0.7809798270893371,0.6582910304986674,0.7490917773280329,0.8326377080132019,0.9065887042916039,271,113,39,53,3.524193548387097,124
richmond,single,0.15,0.7797101449275362,0.867741935483871,0.8213740458015267,0.7330292678107333,0.8202304351604719,0.8254905717664517,0.900990557567582,269,76,41,49,3.1774193548387095,124
richmond,single,0.2,0.8391167192429022,0.8580645161290322,0.8484848484848484,0.7946470331018998,0.8754655707499699,0.814823057638364,0.8925401472395106,266,51,44,46,2.9274193548387095,124
richmond,single,0.21,0.8434504792332268,0.8516129032258064,0.8475120385232745,0.7990581098026278,0.8795144008777879,0.8077445233523237,0.8868733985547783,264,49,46,46,2.8951612903225805,124
richmond,single,0.22,0.8506493506493507,0.8451612903225807,0.8478964401294499,0.8065334835162927,0.8861258666153127,0.8006908671993967,0.8811817717369329,262,46,48,46,2.8548387096774195,124
richmond,single,0.23,0.8590163934426229,0.8451612903225807,0.8520325203252033,0.8154819765266399,0.8936193880563696,0.8006908671993967,0.8811817717369329,262,43,48,46,2.8306451612903225,124
richmond,single,0.24,0.8646864686468647,0.8451612903225807,0.8548123980424144,0.8215757236317855,0.8986655995786266,0.8006908671993967,0.8811817717369329,262,41,48,46,2.814516129032258,124
richmond,single,0.25,0.87248322147651,0.8387096774193549,0.8552631578947368,0.829815580670522,0.9056695214492653,0.7936608465298463,0.875466509435711,260,38,50,44,2.7580645161290325,124
richmond,single,0.26,0.8754208754208754,0.8387096774193549,0.85667215815486,0.8330022877455314,0.908251581400225,0.7936608465298463,0.875466509435711,260,37,50,41,2.725806451612903,124
richmond,single,0.27,0.8779661016949153,0.8354838709677419,0.8561983471074379,0.8356786283618388,0.9105360887324346,0.7901543445561301,0.8726003699240408,259,36,51,40,2.7016129032258065,124
richmond,single,0.28,0.8865979381443299,0.832258064516129,0.8585690515806988,0.8450180700478692,0.9181035518670845,0.786653339156912,0.8697287338378726,258,33,52,40,2.6693548387096775,124
richmond,single,0.29,0.8923611111111112,0.8290322580645161,0.8595317725752508,0.8512652052491574,0.9231274790014774,0.7831577063312003,0.866851725178198,257,31,53,40,2.6451612903225805,124
richmond,single,0.3,0.9017543859649123,0.8290322580645161,0.8638655462184874,0.8616713574798227,0.931150729089425,0.7831577063312003,0.866851725178198,257,28,53,39,2.6129032258064515,124
richmond,single,0.31,0.9049295774647887,0.8290322580645161,0.8653198653198654,0.8652118922333921,0.9338386967016333,0.7831577063312003,0.866851725178198,257,27,53,39,2.6048387096774195,124
richmond,single,0.32,0.9113475177304965,0.8290322580645161,0.8682432432432432,0.8724067122558754,0.9392316217025127,0.7831577063312003,0.866851725178198,257,25,53,37,2.5725806451612905,124
richmond,single,0.33,0.9178571428571428,0.8290322580645161,0.8711864406779661,0.8797608902795274,0.944642579824925,0.7831577063312003,0.866851725178198,257,23,53,37,2.556451612903226,124
richmond,single,0.34,0.9175627240143369,0.8258064516129032,0.8692699490662139,0.8793407737203017,0.9444418664570978,0.7796673278041082,0.8639694622199039,256,23,54,36,2.5403225806451615,124
richmond,single,0.35,0.9205776173285198,0.8225806451612904,0.8688245315161841,0.8826808167537029,0.9469683520304087,0.7761820906701136,0.8610820578685123,255,22,55,35,2.5161290322580645,124
richmond,single,0.36,0.92,0.8161290322580645,0.8649572649572649,0.8818490395543437,0.9465782826242697,0.7692266138617689,0.8552922517060844,253,22,57,32,2.475806451612903,124
richmond,single,0.37,0.9227941176470589,0.8096774193548387,0.8625429553264605,0.8848608129104508,0.9489510559302171,0.7622904681951506,0.8494831144019304,251,21,59,31,2.443548387096774,124
richmond,single,0.38,0.9261992619926199,0.8096774193548387,0.8640275387263339,0.8887633472186236,0.9517207716338354,0.7622904681951506,0.8494831144019304,251,20,59,30,2.4274193548387095,124
richmond,single,0.39,0.9261992619926199,0.8096774193548387,0.8640275387263339,0.8887633472186236,0.9517207716338354,0.7622904681951506,0.8494831144019304,251,20,59,30,2.4274193548387095,124
richmond,single,0.4,0.9328358208955224,0.8064516129032258,0.8650519031141869,0.8963412412261442,0.9570969374779248,0.7588294107600202,0.8465715303516743,250,18,60,30,2.403225806451613,124
richmond,single,0.41,0.939622641509434,0.8032258064516129,0.8660869565217392,0.9041836582098077,0.9624976887245953,0.7553729133237199,0.8436553863025884,249,16,61,29,2.370967741935484,124
