group,threshold,precision,recall,f1,precision_lo,precision_hi,recall_lo,recall_hi,tp,fp,fn,ignored,dets_per_pano,n_panos
manual_gold,0.05,0.7659800382246762,0.920387854044399,0.8361149745016226,0.7536734131938989,0.7778530442198195,0.9114952504468351,0.9284570943024403,3607,1102,312,0,4.709,1000
manual_gold,0.1,0.8267281105990784,0.9155396784894105,0.8688703232836906,0.8151799587737045,0.8376983598095513,0.9064212038458417,0.9238442853342463,3588,752,331,0,4.34,1000
manual_gold,0.15,0.8599324975891997,0.9101811686654759,0.8843436221643733,0.849037305193368,0.8701616160756902,0.9008229372928506,0.9187360273107673,3567,581,352,0,4.148,1000
manual_gold,0.2,0.8821330675305258,0.9032916560347027,0.8925869894099849,0.8717890374794367,0.8917461738667115,0.8936391418760378,0.9121542911292612,3540,473,379,0,4.013,1000
manual_gold,0.21,0.8867451766474568,0.9030364889002297,0.8948166877370418,0.8765389355804998,0.8962075983496565,0.8933733593568565,0.9119102391448011,3539,452,380,0,3.991,1000
manual_gold,0.22,0.8924514011613229,0.9020158203623373,0.897208121827411,0.8824200851211884,0.9017222120137086,0.8923104244662045,0.9109338360208873,3535,426,384,0,3.961,1000
manual_gold,0.23,0.8954580055823395,0.9004848175554988,0.8979643765903307,0.8855172024796455,0.9046285919674623,0.890716600274509,0.9094686531907339,3529,412,390,0,3.941,1000
manual_gold,0.24,0.8980891719745223,0.8994641490176065,0.8987761346251912,0.8882318617877137,0.9071679832963945,0.8896544301011876,0.9084914853494898,3525,400,394,0,3.925,1000
manual_gold,0.25,0.8997955010224948,0.8981883133452412,0.8989911888647683,0.8899901056176406,0.9088164651077942,0.8883271368997421,0.9072696060327281,3520,392,399,0,3.912,1000
manual_gold,0.26,0.902645774466992,0.8966573105384027,0.8996415770609318,0.8929328178646593,0.9115648553279075,0.8867349901513341,0.9058027457592875,3514,379,405,0,3.893,1000
manual_gold,0.27,0.9053147574819401,0.8953814748660373,0.9003207184092367,0.8956919352460117,0.9141349401604483,0.8854086966512605,0.9045798667411536,3509,367,410,0,3.876,1000
manual_gold,0.28,0.9074889867841409,0.8935953049247257,0.9004885574697865,0.8979374114661804,0.9162300656573961,0.8835526278697824,0.9028670939971418,3502,357,417,0,3.859,1000
manual_gold,0.29,0.9095163806552262,0.8925746363868334,0.9009658725048294,0.9000365148277398,0.9181789670767624,0.882492399299003,0.9018879845533554,3498,348,421,0,3.846,1000
manual_gold,0.3,0.9118414188836724,0.8920643021178872,0.9018444473107184,0.9024494573325059,0.9204088909640991,0.8819623878226848,0.9013983270223909,3496,338,423,0,3.834,1000
manual_gold,0.31,0.9146596858638744,0.891553967848941,0.9029590386354825,0.9053778087744252,0.9231083921184152,0.8814324443172198,0.9009086015205728,3494,326,425,0,3.82,1000
manual_gold,0.32,0.9168858495528669,0.8895126307731565,0.9029918404351768,0.9076844277307204,0.9252456658391223,0.8793133416719522,0.8989490281367091,3486,316,433,0,3.802,1000
manual_gold,0.33,0.9201480698043363,0.887981627966318,0.9037787300350604,0.9110765315574544,0.9283669359135563,0.8777247082665628,0.8974786545202497,3480,302,439,0,3.782,1000
manual_gold,0.34,0.9219952241973999,0.8867057922939525,0.9040062434963579,0.9129972612167422,0.9301338153701998,0.8764012926465707,0.8962528976220345,3475,294,444,0,3.769,1000
manual_gold,0.35,0.9233634912187334,0.8854299566215872,0.9039989579262734,0.9144193601616671,0.9314429430251551,0.8750782757250971,0.895026742025301,3470,288,449,0,3.758,1000
manual_gold,0.36,0.9262229350441058,0.8841541209492217,0.9046997389033942,0.9174017395403392,0.9341696593674277,0.8737556517222427,0.8938001935099482,3465,276,454,0,3.741,1000
manual_gold,0.37,0.9278046162104133,0.8821127838734371,0.9043819489862654,0.9190462772560805,0.9356817090476811,0.8716402566096413,0.8918369125934178,3457,269,462,0,3.726,1000
manual_gold,0.38,0.9313513513513514,0.8793059453942332,0.9045806536290852,0.922748334575157,0.9390595785926199,0.8687331666187107,0.8891358230442928,3446,254,473,0,3.7,1000
manual_gold,0.39,0.9322676781360065,0.8780301097218678,0.9043363994743758,0.9237031474085451,0.939933334328588,0.8674123529425661,0.88790746420223,3441,250,478,0,3.691,1000
manual_gold,0.4,0.9331340038053819,0.8759887726460832,0.9036588575941037,0.9246020525478438,0.9407623443352586,0.8652998026513604,0.8859413384643043,3433,246,486,0,3.679,1000
manual_gold,0.41,0.9352812670671764,0.8739474355702985,0.9035747262894077,0.9268476224921505,0.9428026100765454,0.8631881603098531,0.88397430477668,3425,237,494,0,3.662,1000
manual_gold,0.42,0.9369171695008228,0.8716509313600408,0.9031064111037673,0.9285566584944756,0.9443579359361429,0.8608136245546474,0.8817603299991128,3416,230,503,0,3.646,1000
manual_gold,0.43,0.9394273127753304,0.8706302628221485,0.9037213614090849,0.9311951684391983,0.9467308666223954,0.8597586297869686,0.8807759867522258,3412,220,507,0,3.632,1000
manual_gold,0.44,0.9410788381742738,0.8680785914774177,0.9031059198301037,0.9329241336436276,0.9482970836652482,0.8571220788879713,0.8783141926148087,3402,213,517,0,3.615,1000
manual_gold,0.45,0.9428095502498612,0.8665475886705792,0.9030714000797766,0.9347438663332841,0.9499317112073378,0.8555407796648793,0.8768364848160521,3396,206,523,0,3.602,1000
manual_gold,0.46,0.9440267335004177,0.8650165858637408,0.9027962716378162,0.9360227858040532,0.9510816696467793,0.8539599455114956,0.8753583119475871,3390,201,529,0,3.591,1000
manual_gold,0.47,0.9455459368891371,0.8639959173258485,0.9029333333333333,0.9376250537740117,0.95251190513653,0.8529063111504145,0.8743726082941026,3386,195,533,0,3.581,1000
manual_gold,0.48,0.947353682441893,0.8632304159224292,0.9033377837116155,0.9395362247197625,0.9542096688045827,0.8521162179181476,0.873633198015445,3383,188,536,0,3.571,1000
manual_gold,0.49,0.9482564679415073,0.8604235774432253,0.9022073578595317,0.9404800180676681,0.9550654466518856,0.8492201677647075,0.8709210686288291,3372,184,547,0,3.556,1000
manual_gold,0.5,0.9492242595204513,0.8586374075019138,0.9016613076098606,0.941498498427598,0.955977455416045,0.8473779982735928,0.8691943965944539,3365,180,554,0,3.545,1000
manual_gold,0.55,0.9546888442787497,0.8494513906608829,0.8990008101539294,0.9472707388433949,0.9611061981107197,0.8379130887087002,0.8603052640282546,3329,158,590,0,3.487,1000
manual_gold,0.6,0.9621367772233637,0.8364378668027558,0.8948948948948949,0.9551896720330002,0.9680428814810651,0.8245288973094256,0.8476878957418155,3278,129,641,0,3.407,1000
manual_gold,0.65,0.9684684684684685,0.8229140086756825,0.8897779004000552,0.9619721698303987,0.9738851306484242,0.810647528533612,0.8345480358246328,3225,105,694,0,3.33,1000
manual_gold,0.7,0.9757839180378765,0.80199030364889,0.8803921568627451,0.9698813986227686,0.980552880071726,0.7892205726563343,0.8141685624033123,3143,78,776,0,3.221,1000
manual_gold,0.75,0.9801238188334963,0.7675427404950242,0.86090440755581,0.9745521439385164,0.9844950129341322,0.7540597532827055,0.7805017237853463,3008,61,911,0,3.069,1000
manual_gold,0.8,0.9846368715083799,0.7195713192140852,0.8314904909332155,0.9794396168162851,0.9885357413764406,0.7052972889776468,0.733415301405814,2820,44,1099,0,2.864,1000
manual_gold,0.85,0.9877227722772277,0.6363868333758612,0.7740533829919306,0.9826263539513349,0.9913373771103497,0.6211992274082361,0.6513073147881148,2494,31,1425,0,2.525,1000
