split,op_threshold,precision_raw,precision_corrected,precision_band_high,recall_raw,recall_corrected,n_A,n_B,n_U,n_A_suspect,n_incremental
richmond,0.35,0.9205776173285198,0.927797833935018,0.9350180505415162,0.8225806451612904,0.8237179487179487,2,9,2,0,13
bend,0.35,0.9293286219081273,0.9434628975265018,0.950530035335689,0.8042813455657493,0.8066465256797583,4,9,2,0,15
clovis,0.35,0.8820224719101124,0.9044943820224719,0.9101123595505618,0.8051282051282052,0.8090452261306532,4,3,1,0,8
morgantown,0.35,0.9047619047619048,0.922077922077922,0.9264069264069265,0.7827715355805244,0.7859778597785978,4,12,1,1,17
annapolis,0.35,0.9173228346456693,0.9330708661417323,0.9448818897637795,0.7925170068027211,0.7953020134228188,4,8,3,0,15
paterson,0.35,0.95578231292517,0.9625850340136054,0.9659863945578231,0.7113924050632912,0.7128463476070529,2,2,1,0,5
gainesville,0.35,0.8739495798319328,0.8991596638655462,0.9033613445378151,0.7647058823529411,0.7697841726618705,6,13,1,1,20
budapest_district5,0.35,0.7410358565737052,0.7928286852589641,0.8007968127490039,0.62,0.6357827476038339,13,28,2,1,43
POOLED,0.35,0.9150997150997151,0.9299145299145299,0.9361823361823362,0.7796116504854369,0.7823585810162992,26,56,11,2,93
