epoch,f1_at_protocol,precision_at_protocol,recall_at_protocol,max_f1,max_f1_conf,precision_at_max_f1,recall_at_max_f1,ap,checkpoint_fingerprint
1,0.905584,0.900783,0.910436,0.909942,0.416083,0.927172,0.893340,0.920644,e0231879b03f
3,0.909433,0.895596,0.923705,0.920250,0.523791,0.940346,0.900995,0.926044,2c1a21a7f4ba
6,0.916070,0.918655,0.913498,0.919010,0.458373,0.933649,0.904823,0.921502,a5fc5e4ff941
