confidence_threshold,precision,recall
0.000,0.030611,0.940546
0.005,0.293275,0.940291
0.010,0.462002,0.940036
0.015,0.538878,0.939015
0.020,0.589394,0.938760
0.025,0.627263,0.936974
0.030,0.653963,0.936974
0.035,0.677122,0.936463
0.040,0.694729,0.934932
0.045,0.710021,0.934677
0.050,0.721467,0.933912
0.055,0.732239,0.933657
0.060,0.743142,0.933146
0.065,0.752109,0.932891
0.070,0.759302,0.932126
0.075,0.765618,0.931870
0.080,0.772862,0.931615
0.085,0.779154,0.930850
0.090,0.786839,0.930595
0.095,0.791658,0.929829
0.100,0.796066,0.929319
0.105,0.800748,0.929064
0.110,0.804954,0.928808
0.115,0.808582,0.928043
0.120,0.814334,0.927788
0.125,0.816895,0.927788
0.130,0.820831,0.927022
0.135,0.825188,0.926257
0.140,0.829826,0.925746
0.145,0.833218,0.925491
0.150,0.836255,0.925236
0.155,0.839861,0.924726
0.160,0.842914,0.924215
0.165,0.845238,0.923960
0.170,0.848407,0.923960
0.175,0.851399,0.923960
0.180,0.854176,0.923705
0.185,0.856602,0.923705
0.190,0.858500,0.922684
0.195,0.861124,0.922429
0.200,0.863767,0.922174
0.205,0.865597,0.921919
0.210,0.867997,0.921153
0.215,0.870027,0.920643
0.220,0.871467,0.920388
0.225,0.873789,0.920388
0.230,0.875850,0.919878
0.235,0.877989,0.918091
0.240,0.880783,0.918091
0.245,0.882021,0.917581
0.250,0.884596,0.917326
0.255,0.885630,0.916816
0.260,0.888531,0.915285
0.265,0.890186,0.914264
0.270,0.892074,0.913243
0.275,0.892661,0.912478
0.280,0.894171,0.911967
0.285,0.895912,0.911457
0.290,0.897687,0.911202
0.295,0.898992,0.910692
0.300,0.900783,0.910436
0.305,0.902834,0.910436
0.310,0.904183,0.910181
0.315,0.904726,0.908650
0.320,0.906568,0.908650
0.325,0.907885,0.907885
0.330,0.908789,0.907629
0.335,0.910325,0.906609
0.340,0.911100,0.904823
0.345,0.913167,0.904312
0.350,0.914300,0.903802
0.355,0.915180,0.903036
0.360,0.916084,0.902526
0.365,0.916926,0.901250
0.370,0.918553,0.900740
0.375,0.920146,0.899719
0.380,0.920544,0.898699
0.385,0.921004,0.898443
0.390,0.923279,0.896657
0.395,0.924434,0.895892
0.400,0.924881,0.895381
0.405,0.925046,0.894361
0.410,0.925495,0.893850
0.415,0.926436,0.893340
0.420,0.927114,0.892575
0.425,0.927775,0.891554
0.430,0.929427,0.890533
0.435,0.930077,0.889257
0.440,0.930786,0.888747
0.445,0.931995,0.888237
0.450,0.933656,0.886961
0.455,0.934122,0.886451
0.460,0.935075,0.885685
0.465,0.935223,0.884154
0.470,0.935710,0.883899
0.475,0.937466,0.883644
0.480,0.938161,0.882623
0.485,0.939114,0.881602
0.490,0.940071,0.880582
0.495,0.940551,0.880071
0.500,0.941289,0.879561
0.505,0.942029,0.879051
0.510,0.943241,0.877775
0.515,0.943438,0.876754
0.520,0.944429,0.875989
0.525,0.945134,0.874713
0.530,0.946379,0.873692
0.535,0.947631,0.872672
0.540,0.948391,0.872161
0.545,0.949138,0.871396
0.550,0.949082,0.870375
0.555,0.949833,0.869610
0.560,0.950811,0.868079
0.565,0.952128,0.867823
0.570,0.953182,0.867568
0.575,0.953143,0.866803
0.580,0.954149,0.865527
0.585,0.955700,0.864251
0.590,0.956190,0.863230
0.595,0.956140,0.862210
0.600,0.957151,0.860679
0.605,0.958215,0.860168
0.610,0.958108,0.857872
