epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,62572.2,1.07332,1.10355,1.08349,0.83395,0.71378,0.81647,0.52383,0.97151,1.0289,1.06822,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,68242.2,1.07268,1.0975,1.08332,0.83259,0.71689,0.81787,0.52537,0.96729,1.02449,1.06743,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,73924,1.06702,1.09349,1.08087,0.8341,0.71821,0.8202,0.52671,0.96596,1.01991,1.06716,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,79592.8,1.06497,1.08972,1.08144,0.83361,0.71991,0.82118,0.52741,0.96476,1.01629,1.06747,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,85262.6,1.05992,1.0873,1.07697,0.83379,0.72236,0.82238,0.52878,0.96237,1.01277,1.06706,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,5664.9,1.05103,1.06436,1.07463,0.83325,0.72451,0.8236,0.52983,0.96229,1.00732,1.06755,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,11343.2,1.05397,1.07159,1.07518,0.8332,0.72588,0.82438,0.53017,0.96291,1.0039,1.06807,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,17033,1.05102,1.07444,1.07528,0.83348,0.72671,0.82503,0.53041,0.9628,1.00216,1.06809,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,22721.5,1.0489,1.06632,1.07331,0.83247,0.72815,0.82449,0.53086,0.96211,0.99992,1.06789,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,28407.5,1.04386,1.06269,1.07117,0.83266,0.7286,0.82609,0.53126,0.96096,0.9981,1.06778,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,34077.6,1.03987,1.05473,1.07016,0.83423,0.72802,0.82637,0.53181,0.95975,0.99619,1.06783,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,39753.2,1.03315,1.05184,1.0673,0.83402,0.72899,0.82675,0.53233,0.95846,0.99544,1.06773,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,45427.4,1.02863,1.04964,1.06474,0.83534,0.72905,0.82708,0.53271,0.95742,0.99461,1.06741,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,51107.8,1.02403,1.04779,1.06224,0.83663,0.72854,0.8274,0.53336,0.95617,0.99414,1.0667,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,56781.1,1.02426,1.03551,1.06344,0.83542,0.7302,0.82789,0.53398,0.95541,0.99057,1.06717,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,62450.8,1.01868,1.03277,1.06002,0.83657,0.7301,0.82831,0.53443,0.95555,0.98698,1.06731,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
